task,condition,reward,rank,feature_index,mean_activation,std_activation,nonzero_count,n_response_units,feature_label
safe_risky_choice,baseline,10,1,5107,6.7359375,0.034196982231549086,40,40,result in outcomes
safe_risky_choice,baseline,10,2,35492,5.6375,0.03684320663291781,40,40,probability and percentages
safe_risky_choice,baseline,10,3,4162,5.36875,0.16509348677339244,40,40,risk or possibility
safe_risky_choice,baseline,10,4,13951,4.99375,0.35037647163443436,40,40,sum of products for game outcomes
safe_risky_choice,baseline,10,5,56793,4.6078125,0.11374098521972997,40,40,guaranteed or guarantee
safe_risky_choice,baseline,10,6,27757,4.490625,1.4970380913239996,36,40,reliable supplier partner
safe_risky_choice,baseline,10,7,11007,4.459375,0.4564105025905969,40,40,"gar, gu, guarantee, assure"
safe_risky_choice,baseline,10,8,46715,4.071875,0.037107319021943704,40,40,percentages and numerical values
safe_risky_choice,baseline,10,9,47380,4.04453125,0.06707385009961205,40,40,user's choice or preference
safe_risky_choice,baseline,10,10,48258,3.903125,0.14346949534220735,40,40,roles and fields
safe_risky_choice,baseline,15,1,5107,6.74921875,0.028373468433400856,40,40,result in outcomes
safe_risky_choice,baseline,15,2,35492,5.64140625,0.030448711359170676,40,40,probability and percentages
safe_risky_choice,baseline,15,3,4162,5.27578125,0.15732249111598148,40,40,risk or possibility
safe_risky_choice,baseline,15,4,13951,5.16875,0.4350826070989239,40,40,sum of products for game outcomes
safe_risky_choice,baseline,15,5,56793,4.61484375,0.11574898335810348,40,40,guaranteed or guarantee
safe_risky_choice,baseline,15,6,11007,4.353125,0.4495114535526318,40,40,"gar, gu, guarantee, assure"
safe_risky_choice,baseline,15,7,46715,4.08515625,0.0419189950790781,40,40,percentages and numerical values
safe_risky_choice,baseline,15,8,47380,4.04375,0.061237243569580616,40,40,user's choice or preference
safe_risky_choice,baseline,15,9,26699,3.878125,0.015309310892387901,40,40,making a choice
safe_risky_choice,baseline,15,10,48258,3.873046875,0.16880017700185926,40,40,roles and fields
safe_risky_choice,baseline,20,1,5107,6.7328125,0.038241369532939475,40,40,result in outcomes
safe_risky_choice,baseline,20,2,35492,5.65625,0.027063293868263706,40,40,probability and percentages
safe_risky_choice,baseline,20,3,4162,5.44921875,0.1396996464238099,40,40,risk or possibility
