task,condition,rank,feature_index,mean_activation,std_activation,nonzero_count,n_response_units,feature_label
safe_risky_choice,baseline,1,13951,5.132276785714286,0.4446985025959715,1400,1400,sum of products for game outcomes
safe_risky_choice,baseline,2,4162,4.362866908482143,1.5423840491184926,1400,1400,risk or possibility
safe_risky_choice,baseline,3,5107,4.339933035714286,3.204889117165878,906,1400,result in outcomes
safe_risky_choice,baseline,4,11007,3.9854017857142856,1.0690855808555473,1400,1400,"gar, gu, guarantee, assure"
safe_risky_choice,baseline,5,26699,3.80078125,0.06411759934494664,1400,1400,making a choice
safe_risky_choice,baseline,6,47380,3.7710825892857143,0.1645412865389275,1400,1400,user's choice or preference
safe_risky_choice,baseline,7,48258,3.4994391741071427,0.6556113540340441,1400,1400,roles and fields
safe_risky_choice,baseline,8,56793,3.293861607142857,2.0541505243031093,1009,1400,guaranteed or guarantee
safe_risky_choice,baseline,9,20504,3.2626450892857144,0.5344973751777147,1400,1400,safe contexts
safe_risky_choice,baseline,10,28895,3.1139397321428572,0.035722165355640594,1400,1400,explanation or reason
safe_risky_choice,slightly_prompting,1,13951,4.846261160714286,0.5549802483398067,1400,1400,sum of products for game outcomes
safe_risky_choice,slightly_prompting,2,59931,4.378303571428572,0.6062979513699971,1397,1400,modifying with slightly
safe_risky_choice,slightly_prompting,3,14573,4.001852678571429,1.6490112416160427,1397,1400,"as having, more interested"
safe_risky_choice,slightly_prompting,4,20906,3.860513392857143,0.3094084151133454,1400,1400,taking risks and responsibility
safe_risky_choice,slightly_prompting,5,26699,3.7086495535714286,0.046170264397460914,1400,1400,making a choice
safe_risky_choice,slightly_prompting,6,19556,3.6618526785714285,1.8169753091485106,1125,1400,personality traits
safe_risky_choice,slightly_prompting,7,47380,3.5894866071428573,0.11647085079119134,1400,1400,user's choice or preference
safe_risky_choice,slightly_prompting,8,11007,3.487406529017857,1.7593512054155158,1207,1400,"gar, gu, guarantee, assure"
safe_risky_choice,slightly_prompting,9,48258,3.456758390154157,0.8342696065039232,1383,1400,roles and fields
safe_risky_choice,slightly_prompting,10,50372,3.352505580357143,0.4020940517263375,1388,1400,numbers in arithmetic expressions
safe_risky_choice,steering,1,13951,4.948169642857143,0.4328119336178476,1400,1400,sum of products for game outcomes
safe_risky_choice,steering,2,26699,3.7368861607142856,0.06958808281975512,1400,1400,making a choice
safe_risky_choice,steering,3,47380,3.657310267857143,0.1584898353106697,1400,1400,user's choice or preference
safe_risky_choice,steering,4,28895,3.119185267857143,0.03343664877980936,1400,1400,explanation or reason
safe_risky_choice,steering,5,16735,3.064732142857143,0.0465191638492247,1400,1400,lines following new lines
safe_risky_choice,steering,6,24356,2.9706138392857144,0.3222099395303207,1400,1400,explaining a reason
safe_risky_choice,steering,7,20778,2.940161830357143,0.5323986596876104,1400,1400,"returns, profit, rewards"
safe_risky_choice,steering,8,53370,2.8357352120535713,1.5378772870648452,1116,1400,rewarding positive outcomes
safe_risky_choice,steering,9,20906,2.7374441964285716,0.5819250985029409,1400,1400,taking risks and responsibility
safe_risky_choice,steering,10,17968,2.705795200892857,1.1333430710672248,1400,1400,potential risks and consequences
