condition,reward,response_index,old_top10_count,new_top10_count,label_overlap_count,label_overlap_fraction_of_old,label_overlap
baseline,10,1,10,10,0,0.0,
baseline,10,2,10,10,0,0.0,
baseline,10,3,10,10,0,0.0,
baseline,10,4,10,10,0,0.0,
baseline,10,5,10,10,0,0.0,
baseline,10,6,10,10,0,0.0,
baseline,10,7,10,10,0,0.0,
baseline,10,8,10,10,0,0.0,
baseline,10,9,10,10,0,0.0,
baseline,10,10,10,10,0,0.0,
baseline,10,11,10,10,0,0.0,
baseline,10,12,10,10,0,0.0,
baseline,10,13,10,10,0,0.0,
baseline,10,14,10,10,0,0.0,
baseline,10,15,10,10,0,0.0,
baseline,10,16,10,10,0,0.0,
baseline,10,17,10,10,0,0.0,
baseline,10,18,10,10,0,0.0,
baseline,10,19,10,10,0,0.0,
baseline,10,20,10,10,0,0.0,
baseline,10,21,10,10,0,0.0,
baseline,10,22,10,10,0,0.0,
baseline,10,23,10,10,0,0.0,
baseline,10,24,10,10,0,0.0,
baseline,10,25,10,10,0,0.0,
baseline,10,26,10,10,0,0.0,
baseline,10,27,10,10,0,0.0,
baseline,10,28,10,10,0,0.0,
baseline,10,29,10,10,0,0.0,
baseline,10,30,10,10,0,0.0,
baseline,10,31,10,10,0,0.0,
baseline,10,32,10,10,0,0.0,
baseline,10,33,10,10,0,0.0,
baseline,10,34,10,10,0,0.0,
baseline,10,35,10,10,0,0.0,
baseline,10,36,10,10,0,0.0,
baseline,10,37,10,10,0,0.0,
baseline,10,38,10,10,0,0.0,
baseline,10,39,10,10,0,0.0,
baseline,10,40,10,10,0,0.0,
baseline,15,1,10,10,0,0.0,
baseline,15,2,10,10,0,0.0,
baseline,15,3,10,10,0,0.0,
baseline,15,4,10,10,0,0.0,
baseline,15,5,10,10,0,0.0,
baseline,15,6,10,10,0,0.0,
baseline,15,7,10,10,0,0.0,
baseline,15,8,10,10,0,0.0,
baseline,15,9,10,10,0,0.0,
baseline,15,10,10,10,0,0.0,
baseline,15,11,10,10,0,0.0,
baseline,15,12,10,10,0,0.0,
baseline,15,13,10,10,0,0.0,
baseline,15,14,10,10,0,0.0,
baseline,15,15,10,10,0,0.0,
baseline,15,16,10,10,0,0.0,
baseline,15,17,10,10,0,0.0,
baseline,15,18,10,10,0,0.0,
baseline,15,19,10,10,0,0.0,
baseline,15,20,10,10,0,0.0,
baseline,15,21,10,10,0,0.0,
baseline,15,22,10,10,0,0.0,
baseline,15,23,10,10,0,0.0,
baseline,15,24,10,10,0,0.0,
baseline,15,25,10,10,0,0.0,
baseline,15,26,10,10,0,0.0,
baseline,15,27,10,10,0,0.0,
baseline,15,28,10,10,0,0.0,
baseline,15,29,10,10,0,0.0,
baseline,15,30,10,10,0,0.0,
baseline,15,31,10,10,0,0.0,
baseline,15,32,10,10,0,0.0,
baseline,15,33,10,10,0,0.0,
baseline,15,34,10,10,0,0.0,
baseline,15,35,10,10,0,0.0,
baseline,15,36,10,10,0,0.0,
baseline,15,37,10,10,0,0.0,
baseline,15,38,10,10,0,0.0,
baseline,15,39,10,10,0,0.0,
baseline,15,40,10,10,0,0.0,
baseline,20,1,10,10,0,0.0,
baseline,20,2,10,10,0,0.0,
baseline,20,3,10,10,0,0.0,
baseline,20,4,10,10,0,0.0,
baseline,20,5,10,10,0,0.0,
baseline,20,6,10,10,0,0.0,
baseline,20,7,10,10,0,0.0,
baseline,20,8,10,10,0,0.0,
baseline,20,9,10,10,0,0.0,
baseline,20,10,10,10,0,0.0,
baseline,20,11,10,10,0,0.0,
baseline,20,12,10,10,0,0.0,
baseline,20,13,10,10,0,0.0,
baseline,20,14,10,10,0,0.0,
baseline,20,15,10,10,0,0.0,
baseline,20,16,10,10,0,0.0,
baseline,20,17,10,10,0,0.0,
baseline,20,18,10,10,0,0.0,
baseline,20,19,10,10,0,0.0,
baseline,20,20,10,10,0,0.0,
baseline,20,21,10,10,0,0.0,
baseline,20,22,10,10,0,0.0,
baseline,20,23,10,10,0,0.0,
baseline,20,24,10,10,0,0.0,
baseline,20,25,10,10,0,0.0,
baseline,20,26,10,10,0,0.0,
baseline,20,27,10,10,0,0.0,
baseline,20,28,10,10,0,0.0,
baseline,20,29,10,10,0,0.0,
baseline,20,30,10,10,0,0.0,
baseline,20,31,10,10,0,0.0,
baseline,20,32,10,10,0,0.0,
baseline,20,33,10,10,0,0.0,
baseline,20,34,10,10,0,0.0,
baseline,20,35,10,10,0,0.0,
baseline,20,36,10,10,0,0.0,
baseline,20,37,10,10,0,0.0,
baseline,20,38,10,10,0,0.0,
baseline,20,39,10,10,0,0.0,
baseline,20,40,10,10,0,0.0,
baseline,25,1,10,10,0,0.0,
baseline,25,2,10,10,0,0.0,
baseline,25,3,10,10,0,0.0,
baseline,25,4,10,10,0,0.0,
baseline,25,5,10,10,0,0.0,
baseline,25,6,10,10,0,0.0,
baseline,25,7,10,10,0,0.0,
baseline,25,8,10,10,0,0.0,
baseline,25,9,10,10,0,0.0,
baseline,25,10,10,10,0,0.0,
baseline,25,11,10,10,0,0.0,
baseline,25,12,10,10,0,0.0,
baseline,25,13,10,10,0,0.0,
baseline,25,14,10,10,0,0.0,
baseline,25,15,10,10,0,0.0,
baseline,25,16,10,10,0,0.0,
baseline,25,17,10,10,0,0.0,
baseline,25,18,10,10,0,0.0,
baseline,25,19,10,10,0,0.0,
