condition,reward,safe_count,risky_count,other_count,comment_nonempty_count,total_responses,safe_percentage,risky_percentage,other_percentage,comment_nonempty_percentage
baseline,10,40,0,0,40,40,100.0,0.0,0.0,100.0
baseline,15,40,0,0,40,40,100.0,0.0,0.0,100.0
baseline,20,40,0,0,40,40,100.0,0.0,0.0,100.0
baseline,25,40,0,0,40,40,100.0,0.0,0.0,100.0
baseline,30,40,0,0,40,40,100.0,0.0,0.0,100.0
baseline,35,40,0,0,40,40,100.0,0.0,0.0,100.0
baseline,40,40,0,0,40,40,100.0,0.0,0.0,100.0
baseline,45,40,0,0,40,40,100.0,0.0,0.0,100.0
baseline,50,40,0,0,40,40,100.0,0.0,0.0,100.0
baseline,55,40,0,0,40,40,100.0,0.0,0.0,100.0
baseline,60,40,0,0,40,40,100.0,0.0,0.0,100.0
baseline,65,40,0,0,40,40,100.0,0.0,0.0,100.0
baseline,70,40,0,0,40,40,100.0,0.0,0.0,100.0
baseline,75,40,0,0,40,40,100.0,0.0,0.0,100.0
baseline,80,40,0,0,40,40,100.0,0.0,0.0,100.0
baseline,85,40,0,0,40,40,100.0,0.0,0.0,100.0
baseline,90,40,0,0,40,40,100.0,0.0,0.0,100.0
baseline,95,40,0,0,40,40,100.0,0.0,0.0,100.0
baseline,100,40,0,0,40,40,100.0,0.0,0.0,100.0
baseline,105,40,0,0,40,40,100.0,0.0,0.0,100.0
baseline,110,40,0,0,40,40,100.0,0.0,0.0,100.0
baseline,115,40,0,0,40,40,100.0,0.0,0.0,100.0
baseline,120,40,0,0,40,40,100.0,0.0,0.0,100.0
baseline,125,31,9,0,40,40,77.5,22.5,0.0,100.0
baseline,130,10,30,0,40,40,25.0,75.0,0.0,100.0
baseline,135,14,26,0,40,40,35.0,65.0,0.0,100.0
baseline,140,16,24,0,40,40,40.0,60.0,0.0,100.0
baseline,145,1,39,0,40,40,2.5,97.5,0.0,100.0
baseline,150,11,29,0,40,40,27.5,72.5,0.0,100.0
baseline,155,0,40,0,40,40,0.0,100.0,0.0,100.0
baseline,160,0,40,0,40,40,0.0,100.0,0.0,100.0
baseline,165,0,40,0,40,40,0.0,100.0,0.0,100.0
baseline,170,0,40,0,40,40,0.0,100.0,0.0,100.0
baseline,175,0,40,0,40,40,0.0,100.0,0.0,100.0
baseline,180,0,40,0,40,40,0.0,100.0,0.0,100.0
barely_prompting,10,40,0,0,40,40,100.0,0.0,0.0,100.0
barely_prompting,15,40,0,0,40,40,100.0,0.0,0.0,100.0
barely_prompting,20,40,0,0,40,40,100.0,0.0,0.0,100.0
barely_prompting,25,40,0,0,40,40,100.0,0.0,0.0,100.0
barely_prompting,30,40,0,0,40,40,100.0,0.0,0.0,100.0
barely_prompting,35,40,0,0,40,40,100.0,0.0,0.0,100.0
barely_prompting,40,40,0,0,40,40,100.0,0.0,0.0,100.0
barely_prompting,45,40,0,0,40,40,100.0,0.0,0.0,100.0
barely_prompting,50,40,0,0,40,40,100.0,0.0,0.0,100.0
barely_prompting,55,40,0,0,40,40,100.0,0.0,0.0,100.0
barely_prompting,60,40,0,0,40,40,100.0,0.0,0.0,100.0
barely_prompting,65,40,0,0,40,40,100.0,0.0,0.0,100.0
barely_prompting,70,40,0,0,40,40,100.0,0.0,0.0,100.0
barely_prompting,75,40,0,0,40,40,100.0,0.0,0.0,100.0
barely_prompting,80,40,0,0,40,40,100.0,0.0,0.0,100.0
barely_prompting,85,40,0,0,40,40,100.0,0.0,0.0,100.0
barely_prompting,90,40,0,0,40,40,100.0,0.0,0.0,100.0
barely_prompting,95,40,0,0,40,40,100.0,0.0,0.0,100.0
barely_prompting,100,40,0,0,40,40,100.0,0.0,0.0,100.0
barely_prompting,105,40,0,0,40,40,100.0,0.0,0.0,100.0
barely_prompting,110,40,0,0,40,40,100.0,0.0,0.0,100.0
barely_prompting,115,40,0,0,40,40,100.0,0.0,0.0,100.0
barely_prompting,120,40,0,0,40,40,100.0,0.0,0.0,100.0
barely_prompting,125,40,0,0,40,40,100.0,0.0,0.0,100.0
barely_prompting,130,40,0,0,40,40,100.0,0.0,0.0,100.0
barely_prompting,135,40,0,0,40,40,100.0,0.0,0.0,100.0
barely_prompting,140,40,0,0,40,40,100.0,0.0,0.0,100.0
barely_prompting,145,40,0,0,40,40,100.0,0.0,0.0,100.0
barely_prompting,150,40,0,0,40,40,100.0,0.0,0.0,100.0
barely_prompting,155,40,0,0,40,40,100.0,0.0,0.0,100.0
barely_prompting,160,40,0,0,40,40,100.0,0.0,0.0,100.0
barely_prompting,165,40,0,0,40,40,100.0,0.0,0.0,100.0
barely_prompting,170,40,0,0,40,40,100.0,0.0,0.0,100.0
barely_prompting,175,40,0,0,40,40,100.0,0.0,0.0,100.0
barely_prompting,180,40,0,0,40,40,100.0,0.0,0.0,100.0
slightly_prompting,10,40,0,0,40,40,100.0,0.0,0.0,100.0
slightly_prompting,15,40,0,0,40,40,100.0,0.0,0.0,100.0
slightly_prompting,20,19,21,0,40,40,47.5,52.5,0.0,100.0
slightly_prompting,25,0,40,0,40,40,0.0,100.0,0.0,100.0
slightly_prompting,30,0,40,0,40,40,0.0,100.0,0.0,100.0
slightly_prompting,35,0,40,0,40,40,0.0,100.0,0.0,100.0
slightly_prompting,40,0,40,0,40,40,0.0,100.0,0.0,100.0
slightly_prompting,45,0,40,0,40,40,0.0,100.0,0.0,100.0
slightly_prompting,50,0,40,0,40,40,0.0,100.0,0.0,100.0
slightly_prompting,55,0,40,0,40,40,0.0,100.0,0.0,100.0
slightly_prompting,60,0,40,0,40,40,0.0,100.0,0.0,100.0
slightly_prompting,65,0,40,0,40,40,0.0,100.0,0.0,100.0
slightly_prompting,70,0,40,0,40,40,0.0,100.0,0.0,100.0
slightly_prompting,75,0,40,0,40,40,0.0,100.0,0.0,100.0
slightly_prompting,80,0,40,0,40,40,0.0,100.0,0.0,100.0
slightly_prompting,85,0,40,0,40,40,0.0,100.0,0.0,100.0
slightly_prompting,90,0,40,0,40,40,0.0,100.0,0.0,100.0
slightly_prompting,95,0,40,0,40,40,0.0,100.0,0.0,100.0
slightly_prompting,100,0,40,0,40,40,0.0,100.0,0.0,100.0
slightly_prompting,105,0,40,0,40,40,0.0,100.0,0.0,100.0
slightly_prompting,110,0,40,0,40,40,0.0,100.0,0.0,100.0
slightly_prompting,115,0,40,0,40,40,0.0,100.0,0.0,100.0
slightly_prompting,120,0,40,0,40,40,0.0,100.0,0.0,100.0
slightly_prompting,125,0,40,0,40,40,0.0,100.0,0.0,100.0
slightly_prompting,130,0,40,0,40,40,0.0,100.0,0.0,100.0
slightly_prompting,135,0,40,0,40,40,0.0,100.0,0.0,100.0
slightly_prompting,140,0,40,0,40,40,0.0,100.0,0.0,100.0
slightly_prompting,145,0,40,0,40,40,0.0,100.0,0.0,100.0
slightly_prompting,150,0,40,0,40,40,0.0,100.0,0.0,100.0
slightly_prompting,155,0,40,0,40,40,0.0,100.0,0.0,100.0
slightly_prompting,160,0,40,0,40,40,0.0,100.0,0.0,100.0
slightly_prompting,165,0,40,0,40,40,0.0,100.0,0.0,100.0
slightly_prompting,170,0,40,0,40,40,0.0,100.0,0.0,100.0
slightly_prompting,175,0,40,0,40,40,0.0,100.0,0.0,100.0
slightly_prompting,180,0,40,0,40,40,0.0,100.0,0.0,100.0
lite_steering,10,40,0,0,40,40,100.0,0.0,0.0,100.0
lite_steering,15,40,0,0,40,40,100.0,0.0,0.0,100.0
lite_steering,20,40,0,0,40,40,100.0,0.0,0.0,100.0
lite_steering,25,40,0,0,40,40,100.0,0.0,0.0,100.0
lite_steering,30,40,0,0,40,40,100.0,0.0,0.0,100.0
lite_steering,35,40,0,0,40,40,100.0,0.0,0.0,100.0
lite_steering,40,40,0,0,40,40,100.0,0.0,0.0,100.0
lite_steering,45,40,0,0,40,40,100.0,0.0,0.0,100.0
lite_steering,50,40,0,0,40,40,100.0,0.0,0.0,100.0
lite_steering,55,40,0,0,40,40,100.0,0.0,0.0,100.0
lite_steering,60,39,1,0,40,40,97.5,2.5,0.0,100.0
lite_steering,65,19,21,0,40,40,47.5,52.5,0.0,100.0
lite_steering,70,10,30,0,40,40,25.0,75.0,0.0,100.0
lite_steering,75,17,23,0,40,40,42.5,57.5,0.0,100.0
lite_steering,80,7,33,0,40,40,17.5,82.5,0.0,100.0
lite_steering,85,3,37,0,40,40,7.5,92.5,0.0,100.0
lite_steering,90,5,35,0,40,40,12.5,87.5,0.0,100.0
lite_steering,95,11,29,0,40,40,27.5,72.5,0.0,100.0
lite_steering,100,2,38,0,40,40,5.0,95.0,0.0,100.0
lite_steering,105,1,39,0,40,40,2.5,97.5,0.0,100.0
lite_steering,110,0,40,0,40,40,0.0,100.0,0.0,100.0
lite_steering,115,0,40,0,40,40,0.0,100.0,0.0,100.0
lite_steering,120,0,40,0,40,40,0.0,100.0,0.0,100.0
lite_steering,125,0,40,0,40,40,0.0,100.0,0.0,100.0
lite_steering,130,0,40,0,40,40,0.0,100.0,0.0,100.0
lite_steering,135,0,40,0,40,40,0.0,100.0,0.0,100.0
lite_steering,140,0,40,0,40,40,0.0,100.0,0.0,100.0
lite_steering,145,0,40,0,40,40,0.0,100.0,0.0,100.0
lite_steering,150,0,40,0,40,40,0.0,100.0,0.0,100.0
lite_steering,155,0,40,0,40,40,0.0,100.0,0.0,100.0
lite_steering,160,0,40,0,40,40,0.0,100.0,0.0,100.0
lite_steering,165,0,40,0,40,40,0.0,100.0,0.0,100.0
lite_steering,170,0,40,0,40,40,0.0,100.0,0.0,100.0
lite_steering,175,0,40,0,40,40,0.0,100.0,0.0,100.0
lite_steering,180,0,40,0,40,40,0.0,100.0,0.0,100.0
steering,10,40,0,0,40,40,100.0,0.0,0.0,100.0
steering,15,40,0,0,40,40,100.0,0.0,0.0,100.0
steering,20,40,0,0,40,40,100.0,0.0,0.0,100.0
