task,condition,rank,feature_index,mean_activation,std_activation,nonzero_count,n_response_units,feature_label
trust_return,baseline,1,50108,7.8125,0.0,100,100,"trust, worthiness, relationship"
trust_return,baseline,2,35863,6.2375,0.028641098093538504,100,100,maximum limits or quantities
trust_return,baseline,3,29638,6.21875,0.0,100,100,Tr followed by letters
trust_return,baseline,4,55853,5.9375,0.0,100,100,"words starting with ""re"""
trust_return,baseline,5,58655,5.75,0.0,100,100,participation
trust_return,baseline,6,61252,5.59375,0.04841229182760739,100,100,this is a statement
trust_return,baseline,7,5758,5.35,0.039031237490051884,100,100,after an action or event
trust_return,baseline,8,4156,5.28125,0.0,100,100,game theory and related phrases
trust_return,baseline,9,13771,5.21875,0.0,100,100,experiments and experimentation
trust_return,baseline,10,299,5.184375,0.016828640022215104,100,100,"numerical data, tasks, and representation"
trust_return,intervention,1,50108,7.8125,0.0,100,100,"trust, worthiness, relationship"
trust_return,intervention,2,35863,6.2375,0.028641098093538504,100,100,maximum limits or quantities
trust_return,intervention,3,29638,6.21875,0.0,100,100,Tr followed by letters
trust_return,intervention,4,55853,5.9375,0.0,100,100,"words starting with ""re"""
trust_return,intervention,5,58655,5.75,0.0,100,100,participation
trust_return,intervention,6,61252,5.59375,0.04841229182760739,100,100,this is a statement
trust_return,intervention,7,5758,5.35,0.039031237490051884,100,100,after an action or event
trust_return,intervention,8,4156,5.28125,0.0,100,100,game theory and related phrases
trust_return,intervention,9,13771,5.21875,0.0,100,100,experiments and experimentation
trust_return,intervention,10,299,5.184375,0.016828640022215104,100,100,"numerical data, tasks, and representation"
