task,condition,reward,rank,feature_index,mean_activation,std_activation,nonzero_count,n_response_units,feature_label
trust_return,baseline,10,1,50108,7.8125,0.0,8,8,"trust, worthiness, relationship"
trust_return,baseline,10,2,35863,6.28125,0.0,8,8,maximum limits or quantities
trust_return,baseline,10,3,29638,6.21875,0.0,8,8,Tr followed by letters
trust_return,baseline,10,4,55853,5.9375,0.0,8,8,"words starting with ""re"""
trust_return,baseline,10,5,58655,5.75,0.0,8,8,participation
trust_return,baseline,10,6,61252,5.625,0.0,8,8,this is a statement
trust_return,baseline,10,7,5758,5.40625,0.0,8,8,after an action or event
trust_return,baseline,10,8,33342,5.40625,0.0,8,8,half + noun
trust_return,baseline,10,9,4156,5.28125,0.0,8,8,game theory and related phrases
trust_return,baseline,10,10,13771,5.21875,0.0,8,8,experiments and experimentation
