condition,sent_amount,tripled_amount,return_sum,valid_numeric_count,invalid_numeric_count,comment_nonempty_count,total_responses,mean_return,mean_return_share_of_tripled,comment_nonempty_percentage
baseline,10,30,150.0,10,0,10,10,15.0,0.5,100.0
baseline,20,60,300.0,10,0,10,10,30.0,0.5,100.0
baseline,30,90,450.0,10,0,10,10,45.0,0.5,100.0
baseline,40,120,400.0,10,0,10,10,40.0,0.3333333333333333,100.0
baseline,50,150,750.0,10,0,10,10,75.0,0.5,100.0
baseline,60,180,330.0,10,0,10,10,33.0,0.18333333333333332,100.0
baseline,70,210,1050.0,10,0,10,10,105.0,0.5,100.0
baseline,80,240,1200.0,10,0,10,10,120.0,0.5,100.0
baseline,90,270,1350.0,10,0,10,10,135.0,0.5,100.0
baseline,100,300,1500.0,10,0,10,10,150.0,0.5,100.0
intervention,10,30,300.0,10,0,10,10,30.0,1.0,100.0
intervention,20,60,600.0,10,0,10,10,60.0,1.0,100.0
intervention,30,90,900.0,10,0,10,10,90.0,1.0,100.0
intervention,40,120,1200.0,10,0,10,10,120.0,1.0,100.0
intervention,50,150,1500.0,10,0,10,10,150.0,1.0,100.0
intervention,60,180,1200.0,10,0,10,10,120.0,0.6666666666666666,100.0
intervention,70,210,2100.0,10,0,10,10,210.0,1.0,100.0
intervention,80,240,2400.0,10,0,10,10,240.0,1.0,100.0
intervention,90,270,2700.0,10,0,10,10,270.0,1.0,100.0
intervention,100,300,3000.0,10,0,10,10,300.0,1.0,100.0
