task,condition,rank,feature_index,mean_activation,std_activation,nonzero_count,n_response_units,feature_label
ultimatum_response,baseline,1,60228,4.385015510110295,2.151263025268459,640,680,"artificial intelligence, such as, due to"
ultimatum_response,baseline,2,50689,4.13515625,0.354013464152162,680,680,maximum limit payoff
ultimatum_response,baseline,3,26699,4.00703125,1.4794376938918379,599,680,making a choice
ultimatum_response,baseline,4,29461,3.91640625,0.4215432638391266,680,680,better financial offers
ultimatum_response,baseline,5,10313,3.436663459329044,0.491348847558235,680,680,"refusal, rejection, denied"
ultimatum_response,baseline,6,19310,3.385098805147059,0.7527036971680285,680,680,rejected or denied
ultimatum_response,baseline,7,24356,3.151644358915441,1.1877402675025328,679,680,explaining a reason
ultimatum_response,baseline,8,5546,3.132111672794118,0.5714066427000084,680,680,fair distribution
ultimatum_response,baseline,9,28895,3.105078125,0.14631509827069158,680,680,explanation or reason
ultimatum_response,baseline,10,238,2.9826760684742646,1.373364667871728,680,680,accept and its forms
ultimatum_response,prompting,1,5107,6.118795955882353,3.063222594104359,546,680,result in outcomes
ultimatum_response,prompting,2,60228,5.934986787683823,1.9318575790648653,661,680,"artificial intelligence, such as, due to"
ultimatum_response,prompting,3,27146,5.468351139741785,1.5199441123405908,637,680,both parties' interests
ultimatum_response,prompting,4,26699,4.614154411764706,0.0786388808635804,680,680,making a choice
ultimatum_response,prompting,5,238,4.3747702205882355,1.2087676023739415,680,680,accept and its forms
ultimatum_response,prompting,6,50689,4.280882352941177,0.26074646792269995,680,680,maximum limit payoff
ultimatum_response,prompting,7,32499,4.213511029411765,2.2884313864209025,528,680,aligned with something
ultimatum_response,prompting,8,17389,4.206117876838236,2.266374411655027,550,680,well-being and wellness
ultimatum_response,prompting,9,24356,3.8862132352941177,0.09428041632297259,680,680,explaining a reason
ultimatum_response,prompting,10,12745,3.843805290670956,1.3242060780063205,680,680,leaving or exiting
ultimatum_response,steering,1,26699,4.541590073529412,0.14365881594175509,680,680,making a choice
ultimatum_response,steering,2,50689,4.287362132352941,0.22953015432877305,680,680,maximum limit payoff
ultimatum_response,steering,3,11391,4.174415139590993,2.955079071663326,680,680,if ... were statements
ultimatum_response,steering,4,29461,3.8153952205882353,0.3676636916044573,680,680,better financial offers
ultimatum_response,steering,5,5546,3.7652113970588235,0.9582000709859018,680,680,fair distribution
ultimatum_response,steering,6,19310,3.696013327205882,0.6911618570399019,680,680,rejected or denied
ultimatum_response,steering,7,24356,3.6561351102941178,0.1298974028255869,680,680,explaining a reason
ultimatum_response,steering,8,60228,3.621831916360294,2.5993196010005932,562,680,"artificial intelligence, such as, due to"
ultimatum_response,steering,9,58909,3.4201886345358457,0.7077157197722709,679,680,fair and
ultimatum_response,steering,10,10313,3.2446116727941177,1.1478745403261847,662,680,"refusal, rejection, denied"
