condition,reward,response_index,old_top10_count,new_top10_count,label_overlap_count,label_overlap_fraction_of_old,label_overlap
baseline,,1,16,0,0,0.0,
baseline,,2,15,0,0,0.0,
baseline,,3,14,0,0,0.0,
baseline,,4,15,0,0,0.0,
baseline,,5,15,0,0,0.0,
baseline,,6,16,0,0,0.0,
baseline,,7,15,0,0,0.0,
baseline,,8,14,0,0,0.0,
baseline,,9,16,0,0,0.0,
baseline,,10,15,0,0,0.0,
baseline,,11,15,0,0,0.0,
baseline,,12,16,0,0,0.0,
baseline,,13,15,0,0,0.0,
baseline,,14,16,0,0,0.0,
baseline,,15,15,0,0,0.0,
baseline,,16,17,0,0,0.0,
baseline,,17,15,0,0,0.0,
baseline,,18,16,0,0,0.0,
baseline,,19,15,0,0,0.0,
baseline,,20,15,0,0,0.0,
baseline,,21,15,0,0,0.0,
baseline,,22,17,0,0,0.0,
baseline,,23,16,0,0,0.0,
baseline,,24,14,0,0,0.0,
baseline,,25,16,0,0,0.0,
baseline,,26,16,0,0,0.0,
baseline,,27,15,0,0,0.0,
baseline,,28,15,0,0,0.0,
baseline,,29,16,0,0,0.0,
baseline,,30,16,0,0,0.0,
baseline,,31,16,0,0,0.0,
baseline,,32,16,0,0,0.0,
baseline,,33,16,0,0,0.0,
baseline,,34,15,0,0,0.0,
baseline,,35,16,0,0,0.0,
baseline,,36,15,0,0,0.0,
baseline,,37,16,0,0,0.0,
baseline,,38,15,0,0,0.0,
baseline,,39,14,0,0,0.0,
baseline,,40,15,0,0,0.0,
baseline,10,1,0,10,0,,
baseline,10,2,0,10,0,,
baseline,10,3,0,10,0,,
baseline,10,4,0,10,0,,
baseline,10,5,0,10,0,,
baseline,10,6,0,10,0,,
baseline,10,7,0,10,0,,
baseline,10,8,0,10,0,,
baseline,10,9,0,10,0,,
baseline,10,10,0,10,0,,
baseline,10,11,0,10,0,,
baseline,10,12,0,10,0,,
baseline,10,13,0,10,0,,
baseline,10,14,0,10,0,,
baseline,10,15,0,10,0,,
baseline,10,16,0,10,0,,
baseline,10,17,0,10,0,,
baseline,10,18,0,10,0,,
baseline,10,19,0,10,0,,
baseline,10,20,0,10,0,,
baseline,10,21,0,10,0,,
baseline,10,22,0,10,0,,
baseline,10,23,0,10,0,,
baseline,10,24,0,10,0,,
baseline,10,25,0,10,0,,
baseline,10,26,0,10,0,,
baseline,10,27,0,10,0,,
baseline,10,28,0,10,0,,
baseline,10,29,0,10,0,,
baseline,10,30,0,10,0,,
baseline,10,31,0,10,0,,
baseline,10,32,0,10,0,,
baseline,10,33,0,10,0,,
baseline,10,34,0,10,0,,
baseline,10,35,0,10,0,,
baseline,10,36,0,10,0,,
baseline,10,37,0,10,0,,
baseline,10,38,0,10,0,,
baseline,10,39,0,10,0,,
baseline,10,40,0,10,0,,
baseline,15,1,0,10,0,,
baseline,15,2,0,10,0,,
baseline,15,3,0,10,0,,
baseline,15,4,0,10,0,,
baseline,15,5,0,10,0,,
baseline,15,6,0,10,0,,
baseline,15,7,0,10,0,,
baseline,15,8,0,10,0,,
baseline,15,9,0,10,0,,
baseline,15,10,0,10,0,,
baseline,15,11,0,10,0,,
baseline,15,12,0,10,0,,
baseline,15,13,0,10,0,,
baseline,15,14,0,10,0,,
baseline,15,15,0,10,0,,
baseline,15,16,0,10,0,,
baseline,15,17,0,10,0,,
baseline,15,18,0,10,0,,
baseline,15,19,0,10,0,,
baseline,15,20,0,10,0,,
baseline,15,21,0,10,0,,
baseline,15,22,0,10,0,,
baseline,15,23,0,10,0,,
baseline,15,24,0,10,0,,
baseline,15,25,0,10,0,,
baseline,15,26,0,10,0,,
baseline,15,27,0,10,0,,
baseline,15,28,0,10,0,,
baseline,15,29,0,10,0,,
baseline,15,30,0,10,0,,
baseline,15,31,0,10,0,,
baseline,15,32,0,10,0,,
baseline,15,33,0,10,0,,
baseline,15,34,0,10,0,,
baseline,15,35,0,10,0,,
baseline,15,36,0,10,0,,
baseline,15,37,0,10,0,,
baseline,15,38,0,10,0,,
baseline,15,39,0,10,0,,
baseline,15,40,0,10,0,,
baseline,20,1,0,10,0,,
baseline,20,2,0,10,0,,
baseline,20,3,0,10,0,,
baseline,20,4,0,10,0,,
baseline,20,5,0,10,0,,
baseline,20,6,0,10,0,,
baseline,20,7,0,10,0,,
baseline,20,8,0,10,0,,
baseline,20,9,0,10,0,,
baseline,20,10,0,10,0,,
