scenario,condition,reward,response_index,rank,feature_label,activation,source_log
Baseline (Offer: 10),baseline,,1,1,Economic tradeoffs and payoff structures in social contexts,127.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,1,2,Game theory concepts involving cooperation versus competition,52.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,1,3,Formal offer and counteroffer language in negotiations,48.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,1,4,Descriptions of experimental procedures and participant tasks in research studies,39.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,1,5,Negotiation strategies and tactics being discussed,31.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,1,6,Ensuring fairness and equal treatment,27.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,1,7,The assistant should select between provided options,26.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,1,8,Rejection and prevention of rejection in medical and emotional contexts,20.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,1,9,Section breaks and formatting elements in structured training data,18.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,1,10,Character decision-making and multi-step action sequences in narratives,18.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,2,1,Economic tradeoffs and payoff structures in social contexts,141.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,2,2,Game theory concepts involving cooperation versus competition,65.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,2,3,Formal offer and counteroffer language in negotiations,46.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,2,4,Descriptions of experimental procedures and participant tasks in research studies,39.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,2,5,Negotiation strategies and tactics being discussed,36.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,2,6,Ensuring fairness and equal treatment,33.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,2,7,The assistant should select between provided options,28.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,2,8,The assistant is explaining why it cannot fulfill an unethical request,26.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,2,9,Rejection and prevention of rejection in medical and emotional contexts,23.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,2,10,Probability-based decision making scenarios with explicit numerical comparisons,20.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,3,1,Economic tradeoffs and payoff structures in social contexts,146.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,3,2,Game theory concepts involving cooperation versus competition,64.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,3,3,Formal offer and counteroffer language in negotiations,53.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,3,4,Descriptions of experimental procedures and participant tasks in research studies,39.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,3,5,Negotiation strategies and tactics being discussed,37.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,3,6,Ensuring fairness and equal treatment,35.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,3,7,The assistant is explaining why it cannot fulfill an unethical request,33.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,3,8,The assistant should select between provided options,28.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,3,9,"The assistant should maintain a careful, diplomatic tone while discussing sensitive topics",25.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,3,10,Rejection and prevention of rejection in medical and emotional contexts,22.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,4,1,Economic tradeoffs and payoff structures in social contexts,127.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,4,2,Game theory concepts involving cooperation versus competition,56.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,4,3,Formal offer and counteroffer language in negotiations,48.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,4,4,Descriptions of experimental procedures and participant tasks in research studies,40.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,4,5,Negotiation strategies and tactics being discussed,26.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,4,6,The assistant should select between provided options,26.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,4,7,Rejection and prevention of rejection in medical and emotional contexts,20.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,4,8,Ensuring fairness and equal treatment,19.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,4,9,Section breaks and formatting elements in structured training data,18.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,4,10,Probability-based decision making scenarios with explicit numerical comparisons,18.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,5,1,Economic tradeoffs and payoff structures in social contexts,127.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,5,2,Game theory concepts involving cooperation versus competition,51.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,5,3,Formal offer and counteroffer language in negotiations,48.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,5,4,Descriptions of experimental procedures and participant tasks in research studies,39.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,5,5,Negotiation strategies and tactics being discussed,32.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,5,6,The assistant should select between provided options,28.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,5,7,Ensuring fairness and equal treatment,25.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,5,8,Rejection and prevention of rejection in medical and emotional contexts,22.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,5,9,Section breaks and formatting elements in structured training data,18.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,5,10,The assistant is providing analytical descriptions or explanations,18.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,6,1,Economic tradeoffs and payoff structures in social contexts,137.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,6,2,Game theory concepts involving cooperation versus competition,56.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,6,3,Formal offer and counteroffer language in negotiations,49.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,6,4,Descriptions of experimental procedures and participant tasks in research studies,39.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,6,5,Ensuring fairness and equal treatment,34.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
Baseline (Offer: 10),baseline,,6,6,Negotiation strategies and tactics being discussed,33.0,data/raw/games/ultimatum/results_20251008_201139/feature_activations.txt
