condition,offer,accept_count,reject_count,other_count,comment_nonempty_count,total_responses,accept_percentage,reject_percentage,other_percentage,comment_nonempty_percentage
baseline,10,0,40,0,40,40,0.0,100.0,0.0,100.0
baseline,15,0,40,0,40,40,0.0,100.0,0.0,100.0
baseline,20,0,40,0,40,40,0.0,100.0,0.0,100.0
baseline,25,0,40,0,40,40,0.0,100.0,0.0,100.0
baseline,30,0,40,0,40,40,0.0,100.0,0.0,100.0
baseline,35,12,28,0,40,40,30.0,70.0,0.0,100.0
baseline,40,25,15,0,40,40,62.5,37.5,0.0,100.0
baseline,45,40,0,0,40,40,100.0,0.0,0.0,100.0
baseline,50,40,0,0,40,40,100.0,0.0,0.0,100.0
baseline,55,40,0,0,40,40,100.0,0.0,0.0,100.0
baseline,60,40,0,0,40,40,100.0,0.0,0.0,100.0
baseline,65,40,0,0,40,40,100.0,0.0,0.0,100.0
baseline,70,40,0,0,40,40,100.0,0.0,0.0,100.0
baseline,75,40,0,0,40,40,100.0,0.0,0.0,100.0
baseline,80,40,0,0,40,40,100.0,0.0,0.0,100.0
baseline,85,40,0,0,40,40,100.0,0.0,0.0,100.0
baseline,90,40,0,0,40,40,100.0,0.0,0.0,100.0
prompting,10,12,28,0,40,40,30.0,70.0,0.0,100.0
prompting,15,24,16,0,40,40,60.0,40.0,0.0,100.0
prompting,20,40,0,0,40,40,100.0,0.0,0.0,100.0
prompting,25,40,0,0,40,40,100.0,0.0,0.0,100.0
prompting,30,40,0,0,40,40,100.0,0.0,0.0,100.0
prompting,35,40,0,0,40,40,100.0,0.0,0.0,100.0
prompting,40,40,0,0,40,40,100.0,0.0,0.0,100.0
prompting,45,40,0,0,40,40,100.0,0.0,0.0,100.0
prompting,50,40,0,0,40,40,100.0,0.0,0.0,100.0
prompting,55,40,0,0,40,40,100.0,0.0,0.0,100.0
prompting,60,40,0,0,40,40,100.0,0.0,0.0,100.0
prompting,65,40,0,0,40,40,100.0,0.0,0.0,100.0
prompting,70,40,0,0,40,40,100.0,0.0,0.0,100.0
prompting,75,40,0,0,40,40,100.0,0.0,0.0,100.0
prompting,80,40,0,0,40,40,100.0,0.0,0.0,100.0
prompting,85,40,0,0,40,40,100.0,0.0,0.0,100.0
prompting,90,40,0,0,40,40,100.0,0.0,0.0,100.0
steering,10,0,40,0,40,40,0.0,100.0,0.0,100.0
steering,15,0,40,0,40,40,0.0,100.0,0.0,100.0
steering,20,0,40,0,40,40,0.0,100.0,0.0,100.0
steering,25,0,40,0,40,40,0.0,100.0,0.0,100.0
steering,30,0,40,0,40,40,0.0,100.0,0.0,100.0
steering,35,35,5,0,40,40,87.5,12.5,0.0,100.0
steering,40,40,0,0,40,40,100.0,0.0,0.0,100.0
steering,45,40,0,0,40,40,100.0,0.0,0.0,100.0
steering,50,40,0,0,40,40,100.0,0.0,0.0,100.0
steering,55,40,0,0,40,40,100.0,0.0,0.0,100.0
steering,60,40,0,0,40,40,100.0,0.0,0.0,100.0
steering,65,40,0,0,40,40,100.0,0.0,0.0,100.0
steering,70,40,0,0,40,40,100.0,0.0,0.0,100.0
steering,75,40,0,0,40,40,100.0,0.0,0.0,100.0
steering,80,40,0,0,40,40,100.0,0.0,0.0,100.0
steering,85,40,0,0,40,40,100.0,0.0,0.0,100.0
steering,90,40,0,0,40,40,100.0,0.0,0.0,100.0
