record_type,mapping_status,old_goodfire_label,feature_index,evidence_method,source_root,source_file,paper_label_count_in_file,paper_labels_sample
candidate_file,candidate_rejected_no_same_object_mapping,,,co_located_label_and_index_text,edsl,edsl/creativity_experiment/creativity_gpt5_open_sae_share_20260523/open_sae_response_only_frequency/open_sae_feature_activations.jsonl,2,"Descriptions of creative unconventional thinking, especially 'thinking outside the box' | Professional innovation and creative problem-solving"
candidate_file,candidate_rejected_no_same_object_mapping,,,co_located_label_and_index_text,edsl,edsl/creativity_experiment/product_innovation_20251102_202650_goodfire_open_sae_40agent_features/open_sae_feature_activations.jsonl,2,"Descriptions of creative unconventional thinking, especially 'thinking outside the box' | Professional innovation and creative problem-solving"
candidate_file,candidate_rejected_no_same_object_mapping,,,co_located_label_and_index_text,edsl,edsl/creativity_experiment/product_innovation_20251102_202650_goodfire_open_sae_40agent_features_all_content_noncontrol/open_sae_feature_activations.jsonl,2,"Descriptions of creative unconventional thinking, especially 'thinking outside the box' | Professional innovation and creative problem-solving"
candidate_file,candidate_rejected_no_same_object_mapping,,,co_located_label_and_index_text,edsl,edsl/creativity_experiment/product_innovation_20251102_202650_goodfire_open_sae_40agent_features_response_only/open_sae_feature_activations.jsonl,2,"Descriptions of creative unconventional thinking, especially 'thinking outside the box' | Professional innovation and creative problem-solving"
candidate_file,candidate_rejected_no_same_object_mapping,,,co_located_label_and_index_text,edsl,edsl/creativity_experiment/product_innovation_20251102_202650_goodfire_open_sae_40agent_features_response_only_frequency/open_sae_feature_activations.jsonl,2,"Descriptions of creative unconventional thinking, especially 'thinking outside the box' | Professional innovation and creative problem-solving"
candidate_file,candidate_rejected_no_same_object_mapping,,,co_located_label_and_index_text,edsl,edsl/creativity_experiment/product_innovation_20251102_202650_goodfire_open_sae_40agent_features_user_prompt_noncontrol/open_sae_feature_activations.jsonl,2,"Descriptions of creative unconventional thinking, especially 'thinking outside the box' | Professional innovation and creative problem-solving"
candidate_file,candidate_rejected_no_same_object_mapping,,,co_located_label_and_index_text,edsl,edsl/old_notebooks/creativity_torrance_test.ipynb,22,Connecting phrases and transitions when reformulating text | Descriptions of construction materials and building methods | Descriptions of ergonomic grips and comfortable handling features | Descriptions of mechanical components and how they interact | Detailed technical explanations and specifications
candidate_file,candidate_rejected_no_same_object_mapping,,,co_located_label_and_index_text,edsl,edsl/open_sae_ablation_release_20260523/creativity_experiment/product_innovation_20251102_202650_goodfire_open_sae_40agent_features/open_sae_feature_activations.jsonl,2,"Descriptions of creative unconventional thinking, especially 'thinking outside the box' | Professional innovation and creative problem-solving"
candidate_file,candidate_rejected_no_same_object_mapping,,,co_located_label_and_index_text,edsl,edsl/open_sae_ablation_release_20260523/creativity_experiment/product_innovation_20251102_202650_goodfire_open_sae_40agent_features_all_content_noncontrol/open_sae_feature_activations.jsonl,2,"Descriptions of creative unconventional thinking, especially 'thinking outside the box' | Professional innovation and creative problem-solving"
candidate_file,candidate_rejected_no_same_object_mapping,,,co_located_label_and_index_text,edsl,edsl/open_sae_ablation_release_20260523/creativity_experiment/product_innovation_20251102_202650_goodfire_open_sae_40agent_features_response_only/open_sae_feature_activations.jsonl,2,"Descriptions of creative unconventional thinking, especially 'thinking outside the box' | Professional innovation and creative problem-solving"
candidate_file,candidate_rejected_no_same_object_mapping,,,co_located_label_and_index_text,edsl,edsl/open_sae_ablation_release_20260523/creativity_experiment/product_innovation_20251102_202650_goodfire_open_sae_40agent_features_response_only_frequency/open_sae_feature_activations.jsonl,2,"Descriptions of creative unconventional thinking, especially 'thinking outside the box' | Professional innovation and creative problem-solving"
candidate_file,candidate_rejected_no_same_object_mapping,,,co_located_label_and_index_text,edsl,edsl/open_sae_ablation_release_20260523/creativity_experiment/product_innovation_20251102_202650_goodfire_open_sae_40agent_features_user_prompt_noncontrol/open_sae_feature_activations.jsonl,2,"Descriptions of creative unconventional thinking, especially 'thinking outside the box' | Professional innovation and creative problem-solving"
candidate_file,candidate_rejected_no_same_object_mapping,,,co_located_label_and_index_text,edsl_goodfire,edsl_goodfire/edsl_games/Goodfire_cooperate_variant.ipynb,6,Explanatory text about complex ecological and social systems | Game theory concepts involving cooperation versus competition | Technical setup and configuration states in experimental procedures | The assistant is establishing its capabilities and boundaries | The assistant is providing a list of options
