task,condition,rank,feature_index,mean_activation,std_activation,nonzero_count,n_response_units,feature_label
detailed_ways_to_use_a_brick,high_steering,1,25058,171.0,1.0,2,2,"researching Amazon, deploying AWS"
detailed_ways_to_use_a_brick,high_steering,2,20210,143.0,15.0,2,2,stone and earth construction
detailed_ways_to_use_a_brick,high_steering,3,59162,137.5,8.5,2,2,bricks and building
detailed_ways_to_use_a_brick,high_steering,4,23007,136.0,12.0,2,2,a pathway or BBQ
detailed_ways_to_use_a_brick,high_steering,5,5769,132.5,1.5,2,2,place flat stable stack
detailed_ways_to_use_a_brick,high_steering,6,62454,125.5,8.5,2,2,"kidney stones, rock"
detailed_ways_to_use_a_brick,high_steering,7,35034,104.0,2.0,2,2,best deals and different models
detailed_ways_to_use_a_brick,high_steering,8,45632,90.5,3.5,2,2,favorite type of lamp
detailed_ways_to_use_a_brick,high_steering,9,46665,89.0,6.0,2,2,outdoor spaces and items
detailed_ways_to_use_a_brick,high_steering,10,14892,83.0,10.0,2,2,hammer and context
improve_the_stapler_with_many_specific_enhancements,high_steering,1,40325,79.0,0.0,2,2,pens
improve_the_stapler_with_many_specific_enhancements,high_steering,2,15715,73.0,0.0,2,2,but followed by descriptions of state or action
improve_the_stapler_with_many_specific_enhancements,high_steering,3,27847,71.0,0.0,2,2,mechanics and springs
improve_the_stapler_with_many_specific_enhancements,high_steering,4,36804,70.0,0.0,2,2,ergonomic handle or grip
improve_the_stapler_with_many_specific_enhancements,high_steering,5,56212,69.0,0.0,2,2,lighting range ergonomic features
improve_the_stapler_with_many_specific_enhancements,high_steering,6,4544,67.0,0.0,2,2,adjustable legs for storage
improve_the_stapler_with_many_specific_enhancements,high_steering,7,23061,67.0,0.0,2,2,hardware and fasteners
improve_the_stapler_with_many_specific_enhancements,high_steering,8,54443,65.0,0.0,2,2,"separate chambers, adjustable legs, mechanism"
improve_the_stapler_with_many_specific_enhancements,high_steering,9,35034,64.0,0.0,2,2,best deals and different models
improve_the_stapler_with_many_specific_enhancements,high_steering,10,25058,62.0,0.0,2,2,"researching Amazon, deploying AWS"
