dataset_kind,condition,task,reward,agent_index,agent_subject_id,source_file,source_row_index,response_index,unit_id,feature_rank,feature_index,activation,feature_aggregation,max_activation,max_token_index,max_token_id,max_token_text,max_token_is_special_or_control,activation_scope,included_token_count,special_or_control_token_count,sequence_length,model_id,sae_repo,hook,status,error,tokenization_notes,answer_text,comment_text,response_preview,feature_label
creativity,high_steering,detailed_ways_to_use_a_brick,,0,S1,high_steering.csv,0,1,open_sae_steered:creativity:high_steering:0:detailed_ways_to_use_a_brick,1,25058,170.0,frequency,1.578125,163,649, can,False,assistant_response,256,13,373,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening tool to create a border for your plants, by digging a shallow trench and placing the bricks end to end to form a decorative edge."", ""Bricks can be employed as a material for building a barbecue pit, by stacking the bricks to form the walls of the pit and using mortar to hold them in place."", ""You can use a brick as a doorstop to keep a door from closing, by placing the brick in the path of the door and adjusting its position to hold the door open."", ""A brick can be used as a weight to hold down a tarp or other fabric, by placing the brick on top of the fabric and using its weight to keep it in place."", ""Bricks can be used to create a path or walkway, by laying the bricks end to end and using sand or mortar to hold them in place."", ""You can use a brick as a paperweight to hold down papers on a windy day, by placing the brick on top of the papers and using its weight to keep",,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening ...","researching Amazon, deploying AWS"
creativity,high_steering,detailed_ways_to_use_a_brick,,0,S1,high_steering.csv,0,1,open_sae_steered:creativity:high_steering:0:detailed_ways_to_use_a_brick,2,5769,134.0,frequency,2.9375,360,25878, brick,False,assistant_response,256,13,373,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening tool to create a border for your plants, by digging a shallow trench and placing the bricks end to end to form a decorative edge."", ""Bricks can be employed as a material for building a barbecue pit, by stacking the bricks to form the walls of the pit and using mortar to hold them in place."", ""You can use a brick as a doorstop to keep a door from closing, by placing the brick in the path of the door and adjusting its position to hold the door open."", ""A brick can be used as a weight to hold down a tarp or other fabric, by placing the brick on top of the fabric and using its weight to keep it in place."", ""Bricks can be used to create a path or walkway, by laying the bricks end to end and using sand or mortar to hold them in place."", ""You can use a brick as a paperweight to hold down papers on a windy day, by placing the brick on top of the papers and using its weight to keep",,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening ...",place flat stable stack
creativity,high_steering,detailed_ways_to_use_a_brick,,0,S1,high_steering.csv,0,1,open_sae_steered:creativity:high_steering:0:detailed_ways_to_use_a_brick,3,59162,129.0,frequency,5.40625,236,25878, brick,False,assistant_response,256,13,373,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening tool to create a border for your plants, by digging a shallow trench and placing the bricks end to end to form a decorative edge."", ""Bricks can be employed as a material for building a barbecue pit, by stacking the bricks to form the walls of the pit and using mortar to hold them in place."", ""You can use a brick as a doorstop to keep a door from closing, by placing the brick in the path of the door and adjusting its position to hold the door open."", ""A brick can be used as a weight to hold down a tarp or other fabric, by placing the brick on top of the fabric and using its weight to keep it in place."", ""Bricks can be used to create a path or walkway, by laying the bricks end to end and using sand or mortar to hold them in place."", ""You can use a brick as a paperweight to hold down papers on a windy day, by placing the brick on top of the papers and using its weight to keep",,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening ...",bricks and building
creativity,high_steering,detailed_ways_to_use_a_brick,,0,S1,high_steering.csv,0,1,open_sae_steered:creativity:high_steering:0:detailed_ways_to_use_a_brick,4,20210,128.0,frequency,4.75,225,311, to,False,assistant_response,256,13,373,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening tool to create a border for your plants, by digging a shallow trench and placing the bricks end to end to form a decorative edge."", ""Bricks can be employed as a material for building a barbecue pit, by stacking the bricks to form the walls of the pit and using mortar to hold them in place."", ""You can use a brick as a doorstop to keep a door from closing, by placing the brick in the path of the door and adjusting its position to hold the door open."", ""A brick can be used as a weight to hold down a tarp or other fabric, by placing the brick on top of the fabric and using its weight to keep it in place."", ""Bricks can be used to create a path or walkway, by laying the bricks end to end and using sand or mortar to hold them in place."", ""You can use a brick as a paperweight to hold down papers on a windy day, by placing the brick on top of the papers and using its weight to keep",,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening ...",stone and earth construction
creativity,high_steering,detailed_ways_to_use_a_brick,,0,S1,high_steering.csv,0,1,open_sae_steered:creativity:high_steering:0:detailed_ways_to_use_a_brick,5,23007,124.0,frequency,6.53125,314,264, a,False,assistant_response,256,13,373,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening tool to create a border for your plants, by digging a shallow trench and placing the bricks end to end to form a decorative edge."", ""Bricks can be employed as a material for building a barbecue pit, by stacking the bricks to form the walls of the pit and using mortar to hold them in place."", ""You can use a brick as a doorstop to keep a door from closing, by placing the brick in the path of the door and adjusting its position to hold the door open."", ""A brick can be used as a weight to hold down a tarp or other fabric, by placing the brick on top of the fabric and using its weight to keep it in place."", ""Bricks can be used to create a path or walkway, by laying the bricks end to end and using sand or mortar to hold them in place."", ""You can use a brick as a paperweight to hold down papers on a windy day, by placing the brick on top of the papers and using its weight to keep",,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening ...",a pathway or BBQ
creativity,high_steering,detailed_ways_to_use_a_brick,,0,S1,high_steering.csv,0,1,open_sae_steered:creativity:high_steering:0:detailed_ways_to_use_a_brick,6,62454,117.0,frequency,1.96875,275,264, a,False,assistant_response,256,13,373,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening tool to create a border for your plants, by digging a shallow trench and placing the bricks end to end to form a decorative edge."", ""Bricks can be employed as a material for building a barbecue pit, by stacking the bricks to form the walls of the pit and using mortar to hold them in place."", ""You can use a brick as a doorstop to keep a door from closing, by placing the brick in the path of the door and adjusting its position to hold the door open."", ""A brick can be used as a weight to hold down a tarp or other fabric, by placing the brick on top of the fabric and using its weight to keep it in place."", ""Bricks can be used to create a path or walkway, by laying the bricks end to end and using sand or mortar to hold them in place."", ""You can use a brick as a paperweight to hold down papers on a windy day, by placing the brick on top of the papers and using its weight to keep",,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening ...","kidney stones, rock"
creativity,high_steering,detailed_ways_to_use_a_brick,,0,S1,high_steering.csv,0,1,open_sae_steered:creativity:high_steering:0:detailed_ways_to_use_a_brick,7,35034,102.0,frequency,1.0703125,207,264, a,False,assistant_response,256,13,373,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening tool to create a border for your plants, by digging a shallow trench and placing the bricks end to end to form a decorative edge."", ""Bricks can be employed as a material for building a barbecue pit, by stacking the bricks to form the walls of the pit and using mortar to hold them in place."", ""You can use a brick as a doorstop to keep a door from closing, by placing the brick in the path of the door and adjusting its position to hold the door open."", ""A brick can be used as a weight to hold down a tarp or other fabric, by placing the brick on top of the fabric and using its weight to keep it in place."", ""Bricks can be used to create a path or walkway, by laying the bricks end to end and using sand or mortar to hold them in place."", ""You can use a brick as a paperweight to hold down papers on a windy day, by placing the brick on top of the papers and using its weight to keep",,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening ...",best deals and different models
creativity,high_steering,detailed_ways_to_use_a_brick,,0,S1,high_steering.csv,0,1,open_sae_steered:creativity:high_steering:0:detailed_ways_to_use_a_brick,8,46665,95.0,frequency,2.265625,316,477, or,False,assistant_response,256,13,373,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening tool to create a border for your plants, by digging a shallow trench and placing the bricks end to end to form a decorative edge."", ""Bricks can be employed as a material for building a barbecue pit, by stacking the bricks to form the walls of the pit and using mortar to hold them in place."", ""You can use a brick as a doorstop to keep a door from closing, by placing the brick in the path of the door and adjusting its position to hold the door open."", ""A brick can be used as a weight to hold down a tarp or other fabric, by placing the brick on top of the fabric and using its weight to keep it in place."", ""Bricks can be used to create a path or walkway, by laying the bricks end to end and using sand or mortar to hold them in place."", ""You can use a brick as a paperweight to hold down papers on a windy day, by placing the brick on top of the papers and using its weight to keep",,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening ...",outdoor spaces and items
creativity,high_steering,detailed_ways_to_use_a_brick,,0,S1,high_steering.csv,0,1,open_sae_steered:creativity:high_steering:0:detailed_ways_to_use_a_brick,9,26627,87.0,frequency,5.9375,298,1202, its,False,assistant_response,256,13,373,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening tool to create a border for your plants, by digging a shallow trench and placing the bricks end to end to form a decorative edge."", ""Bricks can be employed as a material for building a barbecue pit, by stacking the bricks to form the walls of the pit and using mortar to hold them in place."", ""You can use a brick as a doorstop to keep a door from closing, by placing the brick in the path of the door and adjusting its position to hold the door open."", ""A brick can be used as a weight to hold down a tarp or other fabric, by placing the brick on top of the fabric and using its weight to keep it in place."", ""Bricks can be used to create a path or walkway, by laying the bricks end to end and using sand or mortar to hold them in place."", ""You can use a brick as a paperweight to hold down papers on a windy day, by placing the brick on top of the papers and using its weight to keep",,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening ...",center of gravity
creativity,high_steering,detailed_ways_to_use_a_brick,,0,S1,high_steering.csv,0,1,open_sae_steered:creativity:high_steering:0:detailed_ways_to_use_a_brick,10,45632,87.0,frequency,2.0,126,311, to,False,assistant_response,256,13,373,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening tool to create a border for your plants, by digging a shallow trench and placing the bricks end to end to form a decorative edge."", ""Bricks can be employed as a material for building a barbecue pit, by stacking the bricks to form the walls of the pit and using mortar to hold them in place."", ""You can use a brick as a doorstop to keep a door from closing, by placing the brick in the path of the door and adjusting its position to hold the door open."", ""A brick can be used as a weight to hold down a tarp or other fabric, by placing the brick on top of the fabric and using its weight to keep it in place."", ""Bricks can be used to create a path or walkway, by laying the bricks end to end and using sand or mortar to hold them in place."", ""You can use a brick as a paperweight to hold down papers on a windy day, by placing the brick on top of the papers and using its weight to keep",,"[""You can use a brick as a bookend to hold your books in place on a shelf, by placing the brick at the end of the row of books and adjusting its position to keep the books upright and organized."", ""A brick can be utilized as a gardening ...",favorite type of lamp
creativity,high_steering,improve_the_stapler_with_many_specific_enhancements,,0,S1,high_steering.csv,1,1,open_sae_steered:creativity:high_steering:0:improve_the_stapler_with_many_specific_enhancements,1,40325,79.0,frequency,1.984375,213,449, with,False,assistant_response,124,13,293,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,,"[""Ergonomic grip with rubber coating for better handling"", ""Adjustable staple depth control for various paper thicknesses"", ""Jam-resistant mechanism with easy-release lever"", ""Stainless steel staples for increased durability"", ""Compact design with retractable staple remover"", ""Automatic staple counter for tracking usage"", ""Quick-load staple magazine for reduced downtime"", ""Anti-slip base for stable operation"", ""Durable plastic construction with reinforced metal internal frame"", ""Easy-clean design with removable staple tray""]

I focused on improving the usability, durability, and maintenance of the stapler, while also reducing potential issues like jamming and downtime.",,"[""Ergonomic grip with rubber coating for better handling"", ""Adjustable staple depth control for various paper thicknesses"", ""Jam-resistant mechanism with easy-release lever"", ""Stainless steel staples for increased durability"", ""Compact d...",pens
creativity,high_steering,improve_the_stapler_with_many_specific_enhancements,,0,S1,high_steering.csv,1,1,open_sae_steered:creativity:high_steering:0:improve_the_stapler_with_many_specific_enhancements,2,15715,73.0,frequency,1.2890625,232,369, for,False,assistant_response,124,13,293,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,,"[""Ergonomic grip with rubber coating for better handling"", ""Adjustable staple depth control for various paper thicknesses"", ""Jam-resistant mechanism with easy-release lever"", ""Stainless steel staples for increased durability"", ""Compact design with retractable staple remover"", ""Automatic staple counter for tracking usage"", ""Quick-load staple magazine for reduced downtime"", ""Anti-slip base for stable operation"", ""Durable plastic construction with reinforced metal internal frame"", ""Easy-clean design with removable staple tray""]

I focused on improving the usability, durability, and maintenance of the stapler, while also reducing potential issues like jamming and downtime.",,"[""Ergonomic grip with rubber coating for better handling"", ""Adjustable staple depth control for various paper thicknesses"", ""Jam-resistant mechanism with easy-release lever"", ""Stainless steel staples for increased durability"", ""Compact d...",but followed by descriptions of state or action
creativity,high_steering,improve_the_stapler_with_many_specific_enhancements,,0,S1,high_steering.csv,1,1,open_sae_steered:creativity:high_steering:0:improve_the_stapler_with_many_specific_enhancements,3,27847,71.0,frequency,3.5625,253,5419, internal,False,assistant_response,124,13,293,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,,"[""Ergonomic grip with rubber coating for better handling"", ""Adjustable staple depth control for various paper thicknesses"", ""Jam-resistant mechanism with easy-release lever"", ""Stainless steel staples for increased durability"", ""Compact design with retractable staple remover"", ""Automatic staple counter for tracking usage"", ""Quick-load staple magazine for reduced downtime"", ""Anti-slip base for stable operation"", ""Durable plastic construction with reinforced metal internal frame"", ""Easy-clean design with removable staple tray""]

I focused on improving the usability, durability, and maintenance of the stapler, while also reducing potential issues like jamming and downtime.",,"[""Ergonomic grip with rubber coating for better handling"", ""Adjustable staple depth control for various paper thicknesses"", ""Jam-resistant mechanism with easy-release lever"", ""Stainless steel staples for increased durability"", ""Compact d...",mechanics and springs
creativity,high_steering,improve_the_stapler_with_many_specific_enhancements,,0,S1,high_steering.csv,1,1,open_sae_steered:creativity:high_steering:0:improve_the_stapler_with_many_specific_enhancements,4,36804,70.0,frequency,6.96875,171,48228,onomic,False,assistant_response,124,13,293,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,,"[""Ergonomic grip with rubber coating for better handling"", ""Adjustable staple depth control for various paper thicknesses"", ""Jam-resistant mechanism with easy-release lever"", ""Stainless steel staples for increased durability"", ""Compact design with retractable staple remover"", ""Automatic staple counter for tracking usage"", ""Quick-load staple magazine for reduced downtime"", ""Anti-slip base for stable operation"", ""Durable plastic construction with reinforced metal internal frame"", ""Easy-clean design with removable staple tray""]

I focused on improving the usability, durability, and maintenance of the stapler, while also reducing potential issues like jamming and downtime.",,"[""Ergonomic grip with rubber coating for better handling"", ""Adjustable staple depth control for various paper thicknesses"", ""Jam-resistant mechanism with easy-release lever"", ""Stainless steel staples for increased durability"", ""Compact d...",ergonomic handle or grip
creativity,high_steering,improve_the_stapler_with_many_specific_enhancements,,0,S1,high_steering.csv,1,1,open_sae_steered:creativity:high_steering:0:improve_the_stapler_with_many_specific_enhancements,5,56212,69.0,frequency,1.7890625,240,2385, base,False,assistant_response,124,13,293,meta-llama/Llama-3.3-70B-Instruct,Goodfire/Llama-3.3-70B-Instruct-SAE-l50,model.layers.50,ok,,,"[""Ergonomic grip with rubber coating for better handling"", ""Adjustable staple depth control for various paper thicknesses"", ""Jam-resistant mechanism with easy-release lever"", ""Stainless steel staples for increased durability"", ""Compact design with retractable staple remover"", ""Automatic staple counter for tracking usage"", ""Quick-load staple magazine for reduced downtime"", ""Anti-slip base for stable operation"", ""Durable plastic construction with reinforced metal internal frame"", ""Easy-clean design with removable staple tray""]

I focused on improving the usability, durability, and maintenance of the stapler, while also reducing potential issues like jamming and downtime.",,"[""Ergonomic grip with rubber coating for better handling"", ""Adjustable staple depth control for various paper thicknesses"", ""Jam-resistant mechanism with easy-release lever"", ""Stainless steel staples for increased durability"", ""Compact d...",lighting range ergonomic features
