condition,reward,safe_count,risky_count,other_count,comment_nonempty_count,total_responses,safe_percentage,risky_percentage,other_percentage,comment_nonempty_percentage
dose_risk_04_02,10,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_risk_04_02,15,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_risk_04_02,20,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_risk_04_02,25,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_risk_04_02,30,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_risk_04_02,35,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_risk_04_02,40,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_risk_04_02,45,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_risk_04_02,50,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_risk_04_02,55,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_risk_04_02,60,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_04_02,65,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_04_02,70,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_04_02,75,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_04_02,80,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_04_02,85,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_04_02,90,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_04_02,95,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_04_02,100,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_04_02,105,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_04_02,110,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_04_02,115,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_04_02,120,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_04_02,125,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_04_02,130,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_04_02,135,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_04_02,140,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_04_02,145,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_04_02,150,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_04_02,155,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_04_02,160,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_04_02,165,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_04_02,170,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_04_02,175,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_risk_04_02,180,0,40,0,40,40,0.0,100.0,0.0,100.0
