task,condition,feature_index,mean_activation,std_activation,nonzero_count,n_response_units,feature_label,reward
safe_risky_choice,dose_risk_05_03,13951,5.554285714285714,0.1712595893337822,1400,1400,sum of products for game outcomes,
safe_risky_choice,dose_risk_05_03,26699,3.7589285714285716,0.06418332620115069,1400,1400,making a choice,
safe_risky_choice,dose_risk_05_03,47380,3.6390401785714284,0.15324657911575953,1400,1400,user's choice or preference,
safe_risky_choice,dose_risk_05_03,48258,3.6068861607142857,0.16791993647322304,1400,1400,roles and fields,
safe_risky_choice,dose_risk_05_03,20504,3.517857142857143,0.8004431917710033,1352,1400,safe contexts,
safe_risky_choice,dose_risk_05_03,60836,3.3485588727678572,2.3862321764240706,989,1400,multiplication and digits,
safe_risky_choice,dose_risk_05_03,46963,3.321469203404018,0.8017539916681712,1400,1400,expressing certainty,
safe_risky_choice,dose_risk_05_03,57461,3.279419642857143,2.09765646982954,994,1400,"expectation, anticipation, prediction",
safe_risky_choice,dose_risk_05_03,16735,3.204017857142857,0.012907885977491478,1400,1400,lines following new lines,
safe_risky_choice,dose_risk_05_03,11007,3.1672000558035713,1.4617106338369026,1382,1400,"gar, gu, guarantee, assure",
safe_risky_choice,dose_risk_05_03,28895,3.132142857142857,0.036086232817786924,1400,1400,explanation or reason,
safe_risky_choice,dose_risk_05_03,36960,3.029745396205357,1.9494972027587947,1089,1400,half and remaining counts,
safe_risky_choice,dose_risk_05_03,24356,2.913392857142857,0.2393473401454348,1400,1400,explaining a reason,
safe_risky_choice,dose_risk_05_03,22444,2.8369810267857143,0.6406767190490246,1400,1400,intent or expected future,
safe_risky_choice,dose_risk_05_03,4162,2.7982861328125,2.1311799157736653,1400,1400,risk or possibility,
safe_risky_choice,dose_risk_05_03,6322,2.7200446428571428,1.878060392492948,954,1400,calculations,
safe_risky_choice,dose_risk_05_03,5941,2.6732142857142858,0.05494155637899748,1400,1400,structural delimiters often preceding content,
safe_risky_choice,dose_risk_05_03,5007,2.661785714285714,1.8998199273975913,954,1400,mathematical expressions,
safe_risky_choice,dose_risk_05_03,17284,2.6312946428571427,1.9192268517261009,914,1400,0.5 scaling and figures,
safe_risky_choice,dose_risk_05_03,18259,2.618145228794643,1.830857269696896,1320,1400,"comparisons with ""than""",
safe_risky_choice,dose_risk_05_03,63568,2.614933035714286,0.4261406687224546,1400,1400,"period is 5 years, result of adding",
safe_risky_choice,dose_risk_05_03,12990,2.576900111607143,1.2940453079713692,1400,1400,discussing risks and guarantees,
safe_risky_choice,dose_risk_05_03,13815,2.529017857142857,0.18761688533622295,1400,1400,because followed by a reason,
safe_risky_choice,dose_risk_05_03,17968,2.5181361607142856,0.8482382937597424,1400,1400,potential risks and consequences,
safe_risky_choice,dose_risk_05_03,20906,2.372700892857143,0.9091467892737385,1400,1400,taking risks and responsibility,
safe_risky_choice,dose_risk_05_03,32446,2.338353794642857,0.4144949928827019,1400,1400,legal and business terms,
safe_risky_choice,dose_risk_05_03,50372,2.3315736607142856,0.8479919615090235,1400,1400,numbers in arithmetic expressions,
safe_risky_choice,dose_risk_05_03,20778,2.328002232142857,0.5814490157041468,1400,1400,"returns, profit, rewards",
safe_risky_choice,dose_risk_05_03,56793,2.312645089285714,2.2104737051119856,747,1400,guaranteed or guarantee,
safe_risky_choice,dose_risk_05_03,35908,2.2808035714285713,0.03762733483162775,1400,1400,past tense verbs,
safe_risky_choice,dose_risk_05_03,62065,2.273579799107143,1.0548683559704128,1400,1400,zero or equals zero,
safe_risky_choice,dose_risk_05_03,27138,2.2357142857142858,0.0871062111910567,1400,1400,business partnerpassive incomeeffective troubleshootingpurple cowurban fantasy,
safe_risky_choice,dose_risk_05_03,23752,2.1899776785714287,0.0751867062478272,1400,1400,choose or select,
safe_risky_choice,dose_risk_05_03,23608,2.1740234375,0.14791424529910127,1400,1400,option trading strategies,
safe_risky_choice,dose_risk_05_03,54718,2.1489229910714287,0.33248364621249127,1400,1400,"Rapunzel, New York, cabinet, step, fine",
safe_risky_choice,dose_risk_05_03,2872,2.0890401785714285,0.5604861173118368,1356,1400,0 followed by punctuation or digits,
safe_risky_choice,dose_risk_05_03,8641,2.0330301339285715,0.5084758850960396,1397,1400,units of measurement,
safe_risky_choice,dose_risk_05_03,53370,2.0008482142857145,1.8649903893007893,755,1400,rewarding positive outcomes,
safe_risky_choice,dose_risk_05_03,38927,1.9913950892857142,1.452608899281827,914,1400,numbers and probability percentages,
safe_risky_choice,dose_risk_05_03,43377,1.991361607142857,0.18433673207370752,1400,1400,business operations and decisions,
safe_risky_choice,dose_risk_05_03,27030,1.9774107142857142,0.3255928750213504,1400,1400,risk and its management,
safe_risky_choice,dose_risk_05_03,51890,1.9716322544642857,0.43480441494390476,1400,1400,use bricks to create,
safe_risky_choice,dose_risk_05_03,24430,1.9394308035714285,0.05405182553393552,1400,1400,second place time velocity computer generation help discriminator qualification macros,
safe_risky_choice,dose_risk_05_03,9353,1.8973729596819195,1.1903141926520457,1077,1400,calculating defining meaning,
safe_risky_choice,dose_risk_05_03,55570,1.8942857142857144,0.6426586235517132,1400,1400,although / despite / although,
safe_risky_choice,dose_risk_05_03,31084,1.8779017857142857,3.0465011135722255,386,1400,willing to,
safe_risky_choice,dose_risk_05_03,64296,1.8500223214285714,1.0655433695973269,1400,1400,"when, for, with, good",
safe_risky_choice,dose_risk_05_03,32828,1.8412946428571428,0.03033087098476104,1400,1400,explaining why,
safe_risky_choice,dose_risk_05_03,4048,1.82744140625,0.6327106341364384,1400,1400,diminishing marginal utility,
safe_risky_choice,dose_risk_05_03,8838,1.8214732142857142,1.3783021601617815,914,1400,numbers starting with 0,
safe_risky_choice,dose_risk_05_03,63700,1.8053878348214285,0.9206247344504799,1394,1400,the [specific noun/category],
safe_risky_choice,dose_risk_05_03,9262,1.8028013392857143,1.2173575922500834,1023,1400,comparisons with than,
safe_risky_choice,dose_risk_05_03,12808,1.757220982142857,1.12916500167136,994,1400,value proposition creation,
safe_risky_choice,dose_risk_05_03,6586,1.7339285714285715,0.04419191896184496,1400,1400,explaining why,
safe_risky_choice,dose_risk_05_03,21661,1.7231919642857143,1.187654246787804,954,1400,numbers and units,
safe_risky_choice,dose_risk_05_03,1695,1.7010163225446429,0.9324913636809126,1315,1400,comparison of magnitudes and states,
safe_risky_choice,dose_risk_05_03,2450,1.6872879464285715,0.2731718231456853,1400,1400,specific words after common prefixes,
safe_risky_choice,dose_risk_05_03,47878,1.663931361607143,1.2870781551996224,1024,1400,"50 Shades, years, amounts",
safe_risky_choice,dose_risk_05_03,50960,1.65259765625,1.1191299175046006,1029,1400,comparative magnitudes,
safe_risky_choice,dose_risk_05_03,44907,1.6332142857142857,0.40508739663537685,1400,1400,articles followed by specific nouns,
safe_risky_choice,dose_risk_05_03,27302,1.6318617466517857,1.1272506317081377,1013,1400,decimal calculations with rates,
safe_risky_choice,dose_risk_05_03,17137,1.6283482142857142,0.06035047247587587,1400,1400,technical or code syntax,
safe_risky_choice,dose_risk_05_03,28802,1.6267103794642856,0.34280257961391,1400,1400,contrast conjunctions like while or although,
safe_risky_choice,dose_risk_05_03,57325,1.622446986607143,0.37325292584115505,1400,1400,social dynamics and inclusivity,
safe_risky_choice,dose_risk_05_03,37758,1.5812276785714285,1.1540993207897186,914,1400,multiplication and code pointers,
safe_risky_choice,dose_risk_05_03,39026,1.5774107142857143,1.2400893791287135,961,1400,higher values,
safe_risky_choice,dose_risk_05_03,17651,1.573314732142857,0.5823370127423108,1400,1400,risk and reward,
safe_risky_choice,dose_risk_05_03,58975,1.5732087053571429,0.47661000953746924,1400,1400,risks outweigh benefits,
safe_risky_choice,dose_risk_05_03,9733,1.5689118303571428,0.051201897581617126,1400,1400,selecting or choosing,
safe_risky_choice,dose_risk_05_03,57001,1.5575599888392857,1.0676804863633194,1029,1400,adjective comparisons with than,
safe_risky_choice,dose_risk_05_03,35796,1.555234375,0.26881659428502924,1400,1400,options,
safe_risky_choice,dose_risk_05_03,36284,1.5428738839285714,0.16096916318686785,1400,1400,coin landing on heads,
safe_risky_choice,dose_risk_05_03,1924,1.5401785714285714,0.018406721542939923,1400,1400,labels followed by colon,
safe_risky_choice,dose_risk_05_03,64992,1.53504638671875,0.9626420652037173,1080,1400,"motion, location, or proper nouns",
safe_risky_choice,dose_risk_05_03,21582,1.5176450892857143,0.6433190888505254,1350,1400,average or mean calculation,
safe_risky_choice,dose_risk_05_03,16666,1.5120982142857142,0.17328317935658832,1400,1400,because or unless,
safe_risky_choice,dose_risk_05_03,14941,1.510345982142857,0.13209311048941014,1400,1400,"describes captivating, interesting, unique qualities",
safe_risky_choice,dose_risk_05_03,28052,1.501640625,1.0962119585002637,914,1400,mathematical multiplication,
safe_risky_choice,dose_risk_05_03,50689,1.5011941964285713,0.35361678385509315,1400,1400,maximum limit payoff,
safe_risky_choice,dose_risk_05_03,7432,1.490385044642857,0.3713725737814105,1400,1400,x + y expressions,
safe_risky_choice,dose_risk_05_03,49237,1.488677455357143,0.9511900459196274,1028,1400,in the hope that,
safe_risky_choice,dose_risk_05_03,3072,1.4771344866071427,0.3698538449885574,1360,1400,Greek and Latin prefixes,
safe_risky_choice,dose_risk_05_03,12745,1.464114728655134,1.4472268370175936,1355,1400,leaving or exiting,
safe_risky_choice,dose_risk_05_03,6270,1.461519252232143,0.5611197095149298,1400,1400,quantities and units,
safe_risky_choice,dose_risk_05_03,39907,1.45712890625,1.1026145461090076,954,1400,parenthesis followed by conjunction,
safe_risky_choice,dose_risk_05_03,46634,1.4294084821428572,0.08708853106983303,1400,1400,indicates 'this',
safe_risky_choice,dose_risk_05_03,9403,1.4050374930245535,1.0880952699431028,1247,1400,end of sentence punctuation,
safe_risky_choice,dose_risk_05_03,49007,1.4042410714285714,0.06518621530520467,1400,1400,business analysis and technical terms,
safe_risky_choice,dose_risk_05_03,14792,1.3949051339285714,0.2567754094697403,1360,1400,"llama, trolling, simple, jin, nonce, ticking, tutor, Elo",
safe_risky_choice,dose_risk_05_03,5869,1.375631626674107,0.5357591755518704,1399,1400,apple counts,
safe_risky_choice,dose_risk_05_03,56988,1.3753445870535714,0.921920104944253,1400,1400,secure stable stability security,
safe_risky_choice,dose_risk_05_03,27701,1.3742689732142856,0.9498906981529246,954,1400,numerical totals and calculations,
safe_risky_choice,dose_risk_05_03,42024,1.3687611607142858,0.6924779773263416,1400,1400,years or quantities,
safe_risky_choice,dose_risk_05_03,65178,1.3608175223214285,0.8446806931657933,1400,1400,risk tolerance and management,
safe_risky_choice,dose_risk_05_03,1463,1.3501953125,0.8925117718430488,1029,1400,multiplication and equality,
safe_risky_choice,dose_risk_05_03,20090,1.3422020176478795,0.8535256197528956,1400,1400,"provide, offer, bring",
safe_risky_choice,dose_risk_05_03,36854,1.3390625,0.024148443457672173,1400,1400,specific items followed by newlines,
safe_risky_choice,dose_risk_05_03,53758,1.33734375,0.28236256416335365,1400,1400,parent/child/base class mappings,
safe_risky_choice,dose_risk_05_03,62143,1.3191127232142856,0.9466783314306318,954,1400,mathematical addition expressions,
safe_risky_choice,dose_risk_05_03,57634,1.3190401785714285,0.3693137448696346,1400,1400,available and consumed than,
safe_risky_choice,dose_risk_05_03,58677,1.3084089006696429,0.8689047274121514,1400,1400,which is clauses,
safe_risky_choice,dose_risk_05_03,25058,1.3051450892857144,0.06027469682584105,1400,1400,"researching Amazon, deploying AWS",
safe_risky_choice,dose_risk_05_03,3275,1.3042159598214285,0.664704637169385,1400,1400,estimating quantity or value,
safe_risky_choice,dose_risk_05_03,11983,1.2816747338431222,1.0424622586837031,1400,1400,wise and smart evaluations,
