task,condition,rank,feature_index,mean_activation,std_activation,nonzero_count,n_response_units,feature_label
trust_return,baseline,1,50108,7.8125,0.0,100,100,"trust, worthiness, relationship"
trust_return,baseline,2,35863,6.23125,0.03479852726765905,100,100,maximum limits or quantities
trust_return,baseline,3,29638,6.21875,0.0,100,100,Tr followed by letters
trust_return,baseline,4,55853,5.9375,0.0,100,100,"words starting with ""re"""
trust_return,baseline,5,58655,5.75,0.0,100,100,participation
trust_return,baseline,6,61252,5.4875,0.05962120008858413,100,100,this is a statement
trust_return,baseline,7,4156,5.28125,0.0,100,100,game theory and related phrases
trust_return,baseline,8,13771,5.21875,0.0,100,100,experiments and experimentation
trust_return,baseline,9,299,5.171875,0.015625,100,100,"numerical data, tasks, and representation"
trust_return,baseline,10,22797,5.13125,0.012500000000136425,100,100,how to comment
trust_return,intervention,1,50108,7.8125,0.0,100,100,"trust, worthiness, relationship"
trust_return,intervention,2,35863,6.23125,0.03479852726765905,100,100,maximum limits or quantities
trust_return,intervention,3,29638,6.21875,0.0,100,100,Tr followed by letters
trust_return,intervention,4,55853,5.9375,0.0,100,100,"words starting with ""re"""
trust_return,intervention,5,58655,5.75,0.0,100,100,participation
trust_return,intervention,6,61252,5.4875,0.05962120008858413,100,100,this is a statement
trust_return,intervention,7,4156,5.28125,0.0,100,100,game theory and related phrases
trust_return,intervention,8,13771,5.21875,0.0,100,100,experiments and experimentation
trust_return,intervention,9,299,5.171875,0.015625,100,100,"numerical data, tasks, and representation"
trust_return,intervention,10,22797,5.13125,0.012500000000136425,100,100,how to comment
