condition,offer,accept_count,reject_count,other_count,comment_nonempty_count,total_responses,accept_percentage,reject_percentage,other_percentage,comment_nonempty_percentage
dose_altruism_01,10,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_altruism_01,15,0,40,0,40,40,0.0,100.0,0.0,100.0
dose_altruism_01,20,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_01,25,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_01,30,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_01,35,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_01,40,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_01,45,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_01,50,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_01,55,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_01,60,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_01,65,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_01,70,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_01,75,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_01,80,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_01,85,40,0,0,40,40,100.0,0.0,0.0,100.0
dose_altruism_01,90,40,0,0,40,40,100.0,0.0,0.0,100.0
