task,condition,rank,feature_index,mean_activation,std_activation,nonzero_count,n_response_units,feature_label
ultimatum_response,dose_altruism_02,1,26699,4.586397058823529,0.0893768072143202,680,680,making a choice
ultimatum_response,dose_altruism_02,2,60228,4.380055147058823,2.2743342385358516,598,680,"artificial intelligence, such as, due to"
ultimatum_response,dose_altruism_02,3,50689,4.352320772058824,0.3643627651885362,680,680,maximum limit payoff
ultimatum_response,dose_altruism_02,4,29461,3.9621553308823527,0.1123797309499536,680,680,better financial offers
ultimatum_response,dose_altruism_02,5,24356,3.879595588235294,0.08658093113837523,680,680,explaining a reason
ultimatum_response,dose_altruism_02,6,19310,3.826654411764706,0.4999130986603103,680,680,rejected or denied
ultimatum_response,dose_altruism_02,7,238,3.750091911764706,0.3756820048978468,680,680,accept and its forms
ultimatum_response,dose_altruism_02,8,36182,3.521920955882353,1.2864832700040019,600,680,linking words after punctuation
ultimatum_response,dose_altruism_02,9,10313,3.485684742647059,0.1657998674311612,680,680,"refusal, rejection, denied"
ultimatum_response,dose_altruism_02,10,28802,3.21875,0.7716068464312369,680,680,contrast conjunctions like while or although
