task,condition,reward,rank,feature_index,mean_activation,std_activation,nonzero_count,n_response_units,feature_label
safe_risky_choice,dose_risk_03_01,10,1,5107,6.0703125,2.294362465063825,7,8,result in outcomes
safe_risky_choice,dose_risk_03_01,10,2,13951,5.3125,0.0,8,8,sum of products for game outcomes
safe_risky_choice,dose_risk_03_01,10,3,11007,5.15625,0.0,8,8,"gar, gu, guarantee, assure"
safe_risky_choice,dose_risk_03_01,10,4,35492,4.9765625,1.8809638227099823,7,8,probability and percentages
safe_risky_choice,dose_risk_03_01,10,5,4162,4.9375,0.33071891388307384,8,8,risk or possibility
safe_risky_choice,dose_risk_03_01,10,6,56793,4.71875,0.0,8,8,guaranteed or guarantee
safe_risky_choice,dose_risk_03_01,10,7,27757,4.40234375,1.6639295354742152,7,8,reliable supplier partner
safe_risky_choice,dose_risk_03_01,10,8,46963,4.34375,0.0,8,8,expressing certainty
safe_risky_choice,dose_risk_03_01,10,9,53370,4.0,0.0,8,8,rewarding positive outcomes
safe_risky_choice,dose_risk_03_01,10,10,47380,3.953125,0.0,8,8,user's choice or preference
