task,condition,rank,feature_index,mean_activation,std_activation,nonzero_count,n_response_units,feature_label
safe_risky_choice,dose_risk_05_03,1,13951,5.3125,0.0,8,8,sum of products for game outcomes
safe_risky_choice,dose_risk_05_03,2,4162,5.3125,0.5,8,8,risk or possibility
safe_risky_choice,dose_risk_05_03,3,11007,5.15625,0.0,8,8,"gar, gu, guarantee, assure"
safe_risky_choice,dose_risk_05_03,4,56793,4.71875,0.0,8,8,guaranteed or guarantee
safe_risky_choice,dose_risk_05_03,5,46963,4.34375,0.0,8,8,expressing certainty
safe_risky_choice,dose_risk_05_03,6,53370,4.0,0.0,8,8,rewarding positive outcomes
safe_risky_choice,dose_risk_05_03,7,47380,3.953125,0.0,8,8,user's choice or preference
safe_risky_choice,dose_risk_05_03,8,26699,3.875,0.0,8,8,making a choice
safe_risky_choice,dose_risk_05_03,9,60228,3.734375,1.140625,8,8,"artificial intelligence, such as, due to"
safe_risky_choice,dose_risk_05_03,10,48258,3.697265625,0.148012858888964,8,8,roles and fields
