task,condition,feature_index,mean_activation,std_activation,nonzero_count,n_response_units,feature_label,reward
safe_risky_choice,dose_risk_05_03,13951,5.3125,0.0,8,8,sum of products for game outcomes,
safe_risky_choice,dose_risk_05_03,4162,5.3125,0.5,8,8,risk or possibility,
safe_risky_choice,dose_risk_05_03,11007,5.15625,0.0,8,8,"gar, gu, guarantee, assure",
safe_risky_choice,dose_risk_05_03,56793,4.71875,0.0,8,8,guaranteed or guarantee,
safe_risky_choice,dose_risk_05_03,46963,4.34375,0.0,8,8,expressing certainty,
safe_risky_choice,dose_risk_05_03,53370,4.0,0.0,8,8,rewarding positive outcomes,
safe_risky_choice,dose_risk_05_03,47380,3.953125,0.0,8,8,user's choice or preference,
safe_risky_choice,dose_risk_05_03,26699,3.875,0.0,8,8,making a choice,
safe_risky_choice,dose_risk_05_03,60228,3.734375,1.140625,8,8,"artificial intelligence, such as, due to",
safe_risky_choice,dose_risk_05_03,48258,3.697265625,0.148012858888964,8,8,roles and fields,
safe_risky_choice,dose_risk_05_03,5107,3.46875,3.46875,4,8,result in outcomes,
safe_risky_choice,dose_risk_05_03,24356,3.34375,0.0,8,8,explaining a reason,
safe_risky_choice,dose_risk_05_03,14706,3.2890625,0.3359375,8,8,comma followed by while,
safe_risky_choice,dose_risk_05_03,16735,3.21875,0.0,8,8,lines following new lines,
safe_risky_choice,dose_risk_05_03,28895,3.171875,0.0,8,8,explanation or reason,
safe_risky_choice,dose_risk_05_03,20504,3.078125,0.0,8,8,safe contexts,
safe_risky_choice,dose_risk_05_03,13815,2.875,0.0,8,8,because followed by a reason,
safe_risky_choice,dose_risk_05_03,35492,2.84375,2.84375,4,8,probability and percentages,
safe_risky_choice,dose_risk_05_03,56988,2.67578125,0.16641725315734995,8,8,secure stable stability security,
safe_risky_choice,dose_risk_05_03,50372,2.640625,0.59375,8,8,numbers in arithmetic expressions,
safe_risky_choice,dose_risk_05_03,20090,2.625,0.0,8,8,"provide, offer, bring",
safe_risky_choice,dose_risk_05_03,5941,2.609375,0.0,8,8,structural delimiters often preceding content,
