task,condition,reward,rank,feature_index,mean_activation,std_activation,nonzero_count,n_response_units,feature_label
trust_return,baseline,10,1,50108,7.8125,0.0,4,4,"trust, worthiness, relationship"
trust_return,baseline,10,2,35863,6.28125,0.0,4,4,maximum limits or quantities
trust_return,baseline,10,3,29638,6.21875,0.0,4,4,Tr followed by letters
trust_return,baseline,10,4,55853,5.9375,0.0,4,4,"words starting with ""re"""
trust_return,baseline,10,5,54324,5.9375,0.0,4,4,obligation and mandatory terms
trust_return,baseline,10,6,58655,5.75,0.0,4,4,participation
trust_return,baseline,10,7,58909,5.65625,0.0,4,4,fair and
trust_return,baseline,10,8,61252,5.5625,0.0,4,4,this is a statement
trust_return,baseline,10,9,4156,5.28125,0.0,4,4,game theory and related phrases
trust_return,baseline,10,10,13771,5.21875,0.0,4,4,experiments and experimentation
trust_return,intervention,10,1,50108,7.8125,0.0,4,4,"trust, worthiness, relationship"
trust_return,intervention,10,2,35863,6.28125,0.0,4,4,maximum limits or quantities
trust_return,intervention,10,3,29638,6.21875,0.0,4,4,Tr followed by letters
trust_return,intervention,10,4,55853,5.9375,0.0,4,4,"words starting with ""re"""
trust_return,intervention,10,5,54324,5.9375,0.0,4,4,obligation and mandatory terms
trust_return,intervention,10,6,58655,5.75,0.0,4,4,participation
trust_return,intervention,10,7,58909,5.65625,0.0,4,4,fair and
trust_return,intervention,10,8,61252,5.5625,0.0,4,4,this is a statement
trust_return,intervention,10,9,4156,5.28125,0.0,4,4,game theory and related phrases
trust_return,intervention,10,10,13771,5.21875,0.0,4,4,experiments and experimentation
