task,condition,reward,rank,feature_index,mean_activation,std_activation,nonzero_count,n_response_units,feature_label
ultimatum_response,dose_altruism_04,10,1,60228,5.96875,0.0,8,8,"artificial intelligence, such as, due to"
ultimatum_response,dose_altruism_04,10,2,40158,4.65625,0.0,8,8,low X
ultimatum_response,dose_altruism_04,10,3,26699,4.34375,0.0,8,8,making a choice
ultimatum_response,dose_altruism_04,10,4,58448,4.21875,0.0,8,8,such a
ultimatum_response,dose_altruism_04,10,5,58909,4.0625,0.0,8,8,fair and
ultimatum_response,dose_altruism_04,10,6,20797,4.03125,0.0,8,8,expressing apparent states or perceptions
ultimatum_response,dose_altruism_04,10,7,5546,3.9609375,0.5290049067884437,8,8,fair distribution
ultimatum_response,dose_altruism_04,10,8,29461,3.92578125,0.15814283187497782,8,8,better financial offers
ultimatum_response,dose_altruism_04,10,9,24356,3.703125,0.0,8,8,explaining a reason
ultimatum_response,dose_altruism_04,10,10,50689,3.703125,0.03125,8,8,maximum limit payoff
