dataset_kind,dose_id,dose_rank,input_strengths,feature_indices,source_run,summary_scope,task,condition,reward,rank,feature_index,mean_activation,std_activation,nonzero_count,n_response_units,feature_label
safe_risky,risk_03_01,1,"0.3,0.1","184,4237",runs/open_sae_dose_sweeps/full/safe_risky/risk_03_01,condition_reward,safe_risky_choice,dose_risk_03_01,10,1,5107,6.0703125,2.294362465063825,35,40,result in outcomes
safe_risky,risk_03_01,1,"0.3,0.1","184,4237",runs/open_sae_dose_sweeps/full/safe_risky/risk_03_01,condition_reward,safe_risky_choice,dose_risk_03_01,10,2,13951,5.3125,0.0,40,40,sum of products for game outcomes
safe_risky,risk_03_01,1,"0.3,0.1","184,4237",runs/open_sae_dose_sweeps/full/safe_risky/risk_03_01,condition_reward,safe_risky_choice,dose_risk_03_01,10,3,11007,5.15625,0.0,40,40,"gar, gu, guarantee, assure"
safe_risky,risk_03_01,1,"0.3,0.1","184,4237",runs/open_sae_dose_sweeps/full/safe_risky/risk_03_01,condition_reward,safe_risky_choice,dose_risk_03_01,10,4,35492,4.9765625,1.8809638227099823,35,40,probability and percentages
safe_risky,risk_03_01,1,"0.3,0.1","184,4237",runs/open_sae_dose_sweeps/full/safe_risky/risk_03_01,condition_reward,safe_risky_choice,dose_risk_03_01,10,5,4162,4.9375,0.3307189138830738,40,40,risk or possibility
safe_risky,risk_03_01,1,"0.3,0.1","184,4237",runs/open_sae_dose_sweeps/full/safe_risky/risk_03_01,condition_reward,safe_risky_choice,dose_risk_03_01,10,6,56793,4.71875,0.0,40,40,guaranteed or guarantee
safe_risky,risk_03_01,1,"0.3,0.1","184,4237",runs/open_sae_dose_sweeps/full/safe_risky/risk_03_01,condition_reward,safe_risky_choice,dose_risk_03_01,10,7,27757,4.40234375,1.6639295354742152,35,40,reliable supplier partner
safe_risky,risk_03_01,1,"0.3,0.1","184,4237",runs/open_sae_dose_sweeps/full/safe_risky/risk_03_01,condition_reward,safe_risky_choice,dose_risk_03_01,10,8,46963,4.34375,0.0,40,40,expressing certainty
safe_risky,risk_03_01,1,"0.3,0.1","184,4237",runs/open_sae_dose_sweeps/full/safe_risky/risk_03_01,condition_reward,safe_risky_choice,dose_risk_03_01,10,9,53370,4.0,0.0,40,40,rewarding positive outcomes
safe_risky,risk_03_01,1,"0.3,0.1","184,4237",runs/open_sae_dose_sweeps/full/safe_risky/risk_03_01,condition_reward,safe_risky_choice,dose_risk_03_01,10,10,47380,3.953125,0.0,40,40,user's choice or preference
safe_risky,risk_03_01,1,"0.3,0.1","184,4237",runs/open_sae_dose_sweeps/full/safe_risky/risk_03_01,condition_reward,safe_risky_choice,dose_risk_03_01,15,1,5107,6.93515625,0.0146367140587656,40,40,result in outcomes
safe_risky,risk_03_01,1,"0.3,0.1","184,4237",runs/open_sae_dose_sweeps/full/safe_risky/risk_03_01,condition_reward,safe_risky_choice,dose_risk_03_01,15,2,13951,6.03125,0.2480391854123053,40,40,sum of products for game outcomes
safe_risky,risk_03_01,1,"0.3,0.1","184,4237",runs/open_sae_dose_sweeps/full/safe_risky/risk_03_01,condition_reward,safe_risky_choice,dose_risk_03_01,15,3,35492,5.68515625,0.0146367140587656,40,40,probability and percentages
safe_risky,risk_03_01,1,"0.3,0.1","184,4237",runs/open_sae_dose_sweeps/full/safe_risky/risk_03_01,condition_reward,safe_risky_choice,dose_risk_03_01,15,4,11007,5.0625,0.0,40,40,"gar, gu, guarantee, assure"
safe_risky,risk_03_01,1,"0.3,0.1","184,4237",runs/open_sae_dose_sweeps/full/safe_risky/risk_03_01,condition_reward,safe_risky_choice,dose_risk_03_01,15,5,60836,5.04520263671875,1.395665623182114,40,40,multiplication and digits
safe_risky,risk_03_01,1,"0.3,0.1","184,4237",runs/open_sae_dose_sweeps/full/safe_risky/risk_03_01,condition_reward,safe_risky_choice,dose_risk_03_01,15,6,5007,4.871875,1.3993371756835449,37,40,mathematical expressions
safe_risky,risk_03_01,1,"0.3,0.1","184,4237",runs/open_sae_dose_sweeps/full/safe_risky/risk_03_01,condition_reward,safe_risky_choice,dose_risk_03_01,15,7,4162,4.8171875,0.0292734281174099,40,40,risk or possibility
safe_risky,risk_03_01,1,"0.3,0.1","184,4237",runs/open_sae_dose_sweeps/full/safe_risky/risk_03_01,condition_reward,safe_risky_choice,dose_risk_03_01,15,8,56793,4.75,0.0,40,40,guaranteed or guarantee
safe_risky,risk_03_01,1,"0.3,0.1","184,4237",runs/open_sae_dose_sweeps/full/safe_risky/risk_03_01,condition_reward,safe_risky_choice,dose_risk_03_01,15,9,15033,4.359375,1.453125,36,40,lead to consequences
safe_risky,risk_03_01,1,"0.3,0.1","184,4237",runs/open_sae_dose_sweeps/full/safe_risky/risk_03_01,condition_reward,safe_risky_choice,dose_risk_03_01,15,10,36960,4.3326171875,0.7898663284591212,40,40,half and remaining counts
safe_risky,risk_03_01,1,"0.3,0.1","184,4237",runs/open_sae_dose_sweeps/full/safe_risky/risk_03_01,condition_reward,safe_risky_choice,dose_risk_03_01,20,1,4162,5.90625,0.0,40,40,risk or possibility
safe_risky,risk_03_01,1,"0.3,0.1","184,4237",runs/open_sae_dose_sweeps/full/safe_risky/risk_03_01,condition_reward,safe_risky_choice,dose_risk_03_01,20,2,13951,5.34375,0.0,40,40,sum of products for game outcomes
safe_risky,risk_03_01,1,"0.3,0.1","184,4237",runs/open_sae_dose_sweeps/full/safe_risky/risk_03_01,condition_reward,safe_risky_choice,dose_risk_03_01,20,3,11007,5.0625,0.0,40,40,"gar, gu, guarantee, assure"
safe_risky,risk_03_01,1,"0.3,0.1","184,4237",runs/open_sae_dose_sweeps/full/safe_risky/risk_03_01,condition_reward,safe_risky_choice,dose_risk_03_01,20,4,56793,4.75,0.0,40,40,guaranteed or guarantee
safe_risky,risk_03_01,1,"0.3,0.1","184,4237",runs/open_sae_dose_sweeps/full/safe_risky/risk_03_01,condition_reward,safe_risky_choice,dose_risk_03_01,20,5,60228,4.415625,1.4718749999999987,36,40,"artificial intelligence, such as, due to"
