condition,reward,safe_count,risky_count,other_count,comment_nonempty_count,total_responses,safe_percentage,risky_percentage,other_percentage,comment_nonempty_percentage
steering,10,40,0,0,40,40,100.0,0.0,0.0,100.0
steering,15,40,0,0,40,40,100.0,0.0,0.0,100.0
steering,20,40,0,0,40,40,100.0,0.0,0.0,100.0
steering,25,40,0,0,40,40,100.0,0.0,0.0,100.0
steering,30,40,0,0,40,40,100.0,0.0,0.0,100.0
steering,35,40,0,0,40,40,100.0,0.0,0.0,100.0
steering,40,40,0,0,40,40,100.0,0.0,0.0,100.0
steering,45,40,0,0,40,40,100.0,0.0,0.0,100.0
steering,50,40,0,0,40,40,100.0,0.0,0.0,100.0
steering,55,40,0,0,40,40,100.0,0.0,0.0,100.0
steering,60,0,40,0,40,40,0.0,100.0,0.0,100.0
steering,65,0,40,0,40,40,0.0,100.0,0.0,100.0
steering,70,0,40,0,40,40,0.0,100.0,0.0,100.0
steering,75,0,40,0,40,40,0.0,100.0,0.0,100.0
steering,80,0,40,0,40,40,0.0,100.0,0.0,100.0
steering,85,0,40,0,40,40,0.0,100.0,0.0,100.0
steering,90,0,40,0,40,40,0.0,100.0,0.0,100.0
steering,95,0,40,0,40,40,0.0,100.0,0.0,100.0
steering,100,0,40,0,40,40,0.0,100.0,0.0,100.0
steering,105,0,40,0,40,40,0.0,100.0,0.0,100.0
steering,110,0,40,0,40,40,0.0,100.0,0.0,100.0
steering,115,0,40,0,40,40,0.0,100.0,0.0,100.0
steering,120,0,40,0,40,40,0.0,100.0,0.0,100.0
steering,125,0,40,0,40,40,0.0,100.0,0.0,100.0
steering,130,0,40,0,40,40,0.0,100.0,0.0,100.0
steering,135,0,40,0,40,40,0.0,100.0,0.0,100.0
steering,140,0,40,0,40,40,0.0,100.0,0.0,100.0
steering,145,0,40,0,40,40,0.0,100.0,0.0,100.0
steering,150,0,40,0,40,40,0.0,100.0,0.0,100.0
steering,155,0,40,0,40,40,0.0,100.0,0.0,100.0
steering,160,0,40,0,40,40,0.0,100.0,0.0,100.0
steering,165,0,40,0,40,40,0.0,100.0,0.0,100.0
steering,170,0,40,0,40,40,0.0,100.0,0.0,100.0
steering,175,0,40,0,40,40,0.0,100.0,0.0,100.0
steering,180,0,40,0,40,40,0.0,100.0,0.0,100.0
