task,condition,feature_index,mean_activation,std_activation,nonzero_count,n_response_units,feature_label,reward
safe_risky_choice,steering,4162,5.8125,0.0,8,8,risk or possibility,
safe_risky_choice,steering,13951,5.3125,0.0,8,8,sum of products for game outcomes,
safe_risky_choice,steering,11007,5.15625,0.0,8,8,"gar, gu, guarantee, assure",
safe_risky_choice,steering,60228,4.875,0.0,8,8,"artificial intelligence, such as, due to",
safe_risky_choice,steering,56793,4.71875,0.0,8,8,guaranteed or guarantee,
safe_risky_choice,steering,46963,4.34375,0.0,8,8,expressing certainty,
safe_risky_choice,steering,53370,4.0,0.0,8,8,rewarding positive outcomes,
safe_risky_choice,steering,47380,3.953125,0.0,8,8,user's choice or preference,
safe_risky_choice,steering,26699,3.875,0.0,8,8,making a choice,
safe_risky_choice,steering,12745,3.75,0.0,8,8,leaving or exiting,
safe_risky_choice,steering,48258,3.625,0.0,8,8,roles and fields,
safe_risky_choice,steering,22111,3.515625,0.0,8,8,receive messages or notifications,
safe_risky_choice,steering,24356,3.34375,0.0,8,8,explaining a reason,
safe_risky_choice,steering,50372,3.234375,0.0,8,8,numbers in arithmetic expressions,
safe_risky_choice,steering,18354,3.21875,0.0,8,8,risk of,
safe_risky_choice,steering,16735,3.21875,0.0,8,8,lines following new lines,
safe_risky_choice,steering,28895,3.171875,0.0,8,8,explanation or reason,
safe_risky_choice,steering,20504,3.078125,0.0,8,8,safe contexts,
safe_risky_choice,steering,64296,2.984375,0.0,8,8,"when, for, with, good",
safe_risky_choice,steering,14706,2.953125,0.0,8,8,comma followed by while,
safe_risky_choice,steering,13815,2.875,0.0,8,8,because followed by a reason,
safe_risky_choice,steering,62063,2.859375,0.0,8,8,features and capabilities,
safe_risky_choice,steering,3766,2.828125,0.0,8,8,no,
safe_risky_choice,steering,37859,2.71875,0.0,8,8,end up,
safe_risky_choice,steering,28209,2.671875,0.0,8,8,numbers followed by units or specific words,
safe_risky_choice,steering,20090,2.625,0.0,8,8,"provide, offer, bring",
safe_risky_choice,steering,5941,2.609375,0.0,8,8,structural delimiters often preceding content,
safe_risky_choice,steering,63568,2.59375,0.0,8,8,"period is 5 years, result of adding",
safe_risky_choice,steering,56988,2.546875,0.0,8,8,secure stable stability security,
safe_risky_choice,steering,35908,2.359375,0.0,8,8,past tense verbs,
safe_risky_choice,steering,29594,2.3125,0.0,8,8,"as we know, described, shown",
safe_risky_choice,steering,33729,2.28125,0.0,8,8,eliminate the need,
safe_risky_choice,steering,62065,2.234375,0.0,8,8,zero or equals zero,
safe_risky_choice,steering,23752,2.21875,0.0,8,8,choose or select,
safe_risky_choice,steering,31507,2.21875,0.0,8,8,specific or standard characteristics,
safe_risky_choice,steering,12990,2.203125,0.0,8,8,discussing risks and guarantees,
safe_risky_choice,steering,35874,2.203125,0.0,8,8,negation or absence,
safe_risky_choice,steering,10626,2.15625,0.0,8,8,eliminate two incorrect options,
safe_risky_choice,steering,43377,2.109375,0.0,8,8,business operations and decisions,
safe_risky_choice,steering,32446,2.09375,0.0,8,8,legal and business terms,
safe_risky_choice,steering,27138,2.09375,0.0,8,8,business partnerpassive incomeeffective troubleshootingpurple cowurban fantasy,
safe_risky_choice,steering,37391,2.0625,0.0,8,8,perfect or 100%,
safe_risky_choice,steering,23608,2.0625,0.0,8,8,option trading strategies,
safe_risky_choice,steering,58365,2.046875,0.0,8,8,it + verb describing state or action,
safe_risky_choice,steering,20778,2.03125,0.0,8,8,"returns, profit, rewards",
safe_risky_choice,steering,41190,2.0,0.0,8,8,reducing risk,
safe_risky_choice,steering,51890,2.0,0.0,8,8,use bricks to create,
safe_risky_choice,steering,64756,1.9921875,0.0,8,8,as followed by definition or comparison,
safe_risky_choice,steering,24430,1.9609375,0.0,8,8,second place time velocity computer generation help discriminator qualification macros,
safe_risky_choice,steering,50689,1.9453125,0.0,8,8,maximum limit payoff,
safe_risky_choice,steering,9073,1.9296875,0.0,8,8,degree and size comparisons,
safe_risky_choice,steering,31515,1.921875,0.0,8,8,numbers and quantities,
safe_risky_choice,steering,30577,1.890625,0.0,8,8,as arguments or follows,
safe_risky_choice,steering,32828,1.875,0.0,8,8,explaining why,
safe_risky_choice,steering,22444,1.8515625,0.0,8,8,intent or expected future,
safe_risky_choice,steering,36284,1.8125,0.0,8,8,coin landing on heads,
safe_risky_choice,steering,51571,1.8046875,0.0,8,8,provides information access guidance,
safe_risky_choice,steering,56952,1.796875,0.0,8,8,"consequential action ""-ing"" verbs",
safe_risky_choice,steering,53451,1.7890625,0.0,8,8,determiner followed by noun/adjective,
safe_risky_choice,steering,6586,1.7578125,0.0,8,8,explaining why,
safe_risky_choice,steering,54896,1.75,0.0,8,8,risk of harm or damage,
safe_risky_choice,steering,17137,1.7265625,0.0,8,8,technical or code syntax,
safe_risky_choice,steering,50462,1.71875,0.0,8,8,are predictable outcomes,
safe_risky_choice,steering,8641,1.71875,0.0,8,8,units of measurement,
safe_risky_choice,steering,42124,1.7109375,0.0,8,8,"select, put, design, remove",
safe_risky_choice,steering,30988,1.7109375,0.0,8,8,negative qualifiers,
safe_risky_choice,steering,25833,1.7109375,0.0,8,8,as followed by a word,
safe_risky_choice,steering,14609,1.6953125,0.0,8,8,"goal, intent, or abstract noun",
safe_risky_choice,steering,21509,1.6875,0.0,8,8,"explaining ""Chagrin"" or ""because""",
safe_risky_choice,steering,9733,1.6875,0.0,8,8,selecting or choosing,
safe_risky_choice,steering,5869,1.6796875,0.0,8,8,apple counts,
safe_risky_choice,steering,7151,1.65625,0.0,8,8,"production, smooth, negative attitudes, bizarre",
safe_risky_choice,steering,2872,1.640625,0.0,8,8,0 followed by punctuation or digits,
safe_risky_choice,steering,14069,1.640625,0.0,8,8,contract offers,
safe_risky_choice,steering,54718,1.640625,0.0,8,8,"Rapunzel, New York, cabinet, step, fine",
safe_risky_choice,steering,37179,1.6328125,0.0,8,8,referencing the second,
safe_risky_choice,steering,16666,1.625,0.0,8,8,because or unless,
safe_risky_choice,steering,38492,1.6171875,0.0,8,8,"nothing, Not, nowhere, nada, rien",
safe_risky_choice,steering,14941,1.6171875,0.0,8,8,"describes captivating, interesting, unique qualities",
safe_risky_choice,steering,55241,1.6171875,0.0,8,8,synonyms scalar simulation sinus damage satellites,
safe_risky_choice,steering,44907,1.6015625,0.0,8,8,articles followed by specific nouns,
safe_risky_choice,steering,10984,1.59375,0.0,8,8,prevent breakdown,
safe_risky_choice,steering,27030,1.5703125,0.0,8,8,risk and its management,
safe_risky_choice,steering,41241,1.5703125,0.0,8,8,"zero-sum, zero-shot, zero padded",
safe_risky_choice,steering,13514,1.5625,0.0,8,8,coin flip outcomes,
safe_risky_choice,steering,8667,1.5546875,0.0,8,8,product/company names,
safe_risky_choice,steering,49007,1.546875,0.0,8,8,business analysis and technical terms,
safe_risky_choice,steering,57634,1.5390625,0.0,8,8,available and consumed than,
safe_risky_choice,steering,52188,1.53125,0.0,8,8,avoiding negative outcomes,
safe_risky_choice,steering,1924,1.5234375,0.0,8,8,labels followed by colon,
safe_risky_choice,steering,12342,1.5234375,0.0,8,8,"requires some, captain may, navigate using",
safe_risky_choice,steering,11644,1.5078125,0.0,8,8,hypothetical statements with would,
safe_risky_choice,steering,55934,1.5078125,0.0,8,8,sentence starters after punctuation,
safe_risky_choice,steering,16583,1.5,0.0,8,8,"learning and improvement, fabrics",
safe_risky_choice,steering,924,1.5,0.0,8,8,"reducing cost, risk, or amount",
safe_risky_choice,steering,49872,1.5,0.0,8,8,balance and navigate actions,
safe_risky_choice,steering,16275,1.4921875,0.0,8,8,an a,
safe_risky_choice,steering,61439,1.4921875,0.0,8,8,connector followed by it,
safe_risky_choice,steering,2450,1.4921875,0.0,8,8,specific words after common prefixes,
safe_risky_choice,steering,43308,1.4765625,0.0,8,8,zero condition,
safe_risky_choice,steering,29194,1.46875,0.0,8,8,receive or get,
safe_risky_choice,steering,65178,1.46875,0.0,8,8,risk tolerance and management,
safe_risky_choice,steering,46634,1.46875,0.0,8,8,indicates 'this',
safe_risky_choice,steering,42794,1.453125,0.0,8,8,"capital cities, cabinets, change, taking",
safe_risky_choice,steering,12856,1.453125,0.0,8,8,earn money or rewards,
safe_risky_choice,steering,51706,1.4453125,0.0,8,8,"specific, offers, involves",
safe_risky_choice,steering,15169,1.4453125,0.0,8,8,adding more information,
safe_risky_choice,steering,58917,1.4296875,0.0,8,8,process of,
safe_risky_choice,steering,7217,1.4296875,0.0,8,8,the ability,
safe_risky_choice,steering,2163,1.421875,0.0,8,8,without need or assistance,
safe_risky_choice,steering,47261,1.4140625,0.0,8,8,"empty, blank, new",
safe_risky_choice,steering,24494,1.4140625,0.0,8,8,"gear, GUI, GPU, GAP",
safe_risky_choice,steering,55570,1.4140625,0.0,8,8,although / despite / although,
safe_risky_choice,steering,57325,1.390625,0.0,8,8,social dynamics and inclusivity,
safe_risky_choice,steering,23653,1.390625,0.0,8,8,strive for greatness; established in,
safe_risky_choice,steering,25058,1.375,0.0,8,8,"researching Amazon, deploying AWS",
safe_risky_choice,steering,64001,1.375,0.0,8,8,potential to generate or achieve,
safe_risky_choice,steering,61145,1.359375,0.0,8,8,zero in code,
safe_risky_choice,steering,64039,1.359375,0.0,8,8,keyword-noun pairs,
safe_risky_choice,steering,20531,1.34375,0.0,8,8,provides benefits and features,
safe_risky_choice,steering,26458,1.34375,0.0,8,8,`.fast` `chat` `NAME` `Computer` `file`,
safe_risky_choice,steering,16251,1.34375,0.0,8,8,words starting with r,
safe_risky_choice,steering,54151,1.3359375,0.0,8,8,comma followed by consequence,
safe_risky_choice,steering,32612,1.3359375,0.0,8,8,"exhibits, recognition, genres, meaning, flavors",
safe_risky_choice,steering,27774,1.328125,0.0,8,8,entities and their roles,
safe_risky_choice,steering,35796,1.328125,0.0,8,8,options,
safe_risky_choice,steering,26221,1.3203125,0.0,8,8,I followed by verb,
safe_risky_choice,steering,60181,1.3125,0.0,8,8,"noun after ""a""",
safe_risky_choice,steering,36854,1.3046875,0.0,8,8,specific items followed by newlines,
safe_risky_choice,steering,39990,1.296875,0.0,8,8,rather than,
safe_risky_choice,steering,21202,1.296875,0.0,8,8,simple and easy explanations,
safe_risky_choice,steering,32186,1.265625,0.0,8,8,this is the case,
safe_risky_choice,steering,58342,1.265625,0.0,8,8,providing opportunities and support,
safe_risky_choice,steering,17069,1.265625,0.0,8,8,have the,
safe_risky_choice,steering,34108,1.25,0.0,8,8,articles and prepositions followed by nouns,
safe_risky_choice,steering,38969,1.25,0.0,8,8,"Unlike X, Y",
safe_risky_choice,steering,17222,1.25,0.0,8,8,terms following articles,
safe_risky_choice,steering,58635,1.2421875,0.0,8,8,"ester, gauge, Assi, gadget, male, plaque, Police, request",
safe_risky_choice,steering,63507,1.234375,0.0,8,8,predict or guarantee future,
safe_risky_choice,steering,63090,1.234375,0.0,8,8,entity then category,
safe_risky_choice,steering,59404,1.2265625,0.0,8,8,mystery and unknown,
safe_risky_choice,steering,19856,1.2265625,0.0,8,8,reported by state,
safe_risky_choice,steering,27045,1.21875,0.0,8,8,"steps, concepts, ways",
safe_risky_choice,steering,25588,1.2109375,0.0,8,8,quantities and units,
safe_risky_choice,steering,20906,1.1953125,0.0,8,8,taking risks and responsibility,
safe_risky_choice,steering,11580,1.1953125,0.0,8,8,providing the reason why,
safe_risky_choice,steering,19233,1.1875,0.0,8,8,"classify, from, call",
safe_risky_choice,steering,40717,1.1875,0.0,8,8,the other / remote / listener,
safe_risky_choice,steering,61823,1.1875,0.0,8,8,conjunctions and relative clauses,
safe_risky_choice,steering,42378,1.1796875,0.0,8,8,words starting with t,
safe_risky_choice,steering,33192,1.1796875,0.0,8,8,intention of,
safe_risky_choice,steering,53536,1.1796875,0.0,8,8,phrases starting with verbs,
safe_risky_choice,steering,3626,1.171875,0.0,8,8,measurement units and specific items,
safe_risky_choice,steering,42797,1.1640625,0.0,8,8,introduces a concept,
safe_risky_choice,steering,53026,1.1640625,0.0,8,8,introduces elaboration or examples,
safe_risky_choice,steering,19746,1.1640625,0.0,8,8,"states, plans, and timelines",
safe_risky_choice,steering,28037,1.15625,0.0,8,8,"first, second, or outer/inner items",
safe_risky_choice,steering,24437,1.1484375,0.0,8,8,one-off payment,
safe_risky_choice,steering,14792,1.1484375,0.0,8,8,"llama, trolling, simple, jin, nonce, ticking, tutor, Elo",
safe_risky_choice,steering,42525,1.140625,0.0,8,8,documentation comments,
safe_risky_choice,steering,12799,1.140625,0.0,8,8,tactile textures and descriptive qualities,
safe_risky_choice,steering,16719,1.140625,0.0,8,8,gathering resources,
safe_risky_choice,steering,64103,1.140625,0.0,8,8,requesting or considering options,
safe_risky_choice,steering,46512,1.1328125,0.0,8,8,non-empty or not equal,
safe_risky_choice,steering,329,1.1328125,0.0,8,8,descriptive numbers and years,
safe_risky_choice,steering,52526,1.1328125,0.0,8,8,"more, larger, drained",
safe_risky_choice,steering,30065,1.125,0.0,8,8,is like,
safe_risky_choice,steering,39863,1.125,0.0,8,8,functional requirement,
safe_risky_choice,steering,30569,1.125,0.0,8,8,'I' followed by 'm' or common verbs,
safe_risky_choice,steering,33286,1.1171875,0.0,8,8,their contributions,
safe_risky_choice,steering,26267,1.1171875,0.0,8,8,introduces descriptive clauses,
safe_risky_choice,steering,60174,1.1171875,0.0,8,8,actions and states,
safe_risky_choice,steering,64418,1.1171875,0.0,8,8,can happen,
safe_risky_choice,steering,7286,1.1171875,0.0,8,8,received communications,
safe_risky_choice,steering,21690,1.1171875,0.0,8,8,influence or modify,
safe_risky_choice,steering,40547,1.109375,0.0,8,8,describing characteristics or attributes,
safe_risky_choice,steering,51011,1.109375,0.0,8,8,article or quantifier followed by noun,
safe_risky_choice,steering,58283,1.109375,0.0,8,8,states or characteristics,
safe_risky_choice,steering,11874,1.109375,0.0,8,8,"that arises, satisfaction she",
safe_risky_choice,steering,56110,1.109375,0.0,8,8,"highly volatile, speculative, debated",
safe_risky_choice,steering,1308,1.109375,0.0,8,8,in specific situations,
safe_risky_choice,steering,48761,1.1015625,0.0,8,8,specific types or alternatives,
safe_risky_choice,steering,64860,1.1015625,0.0,8,8,be/is/a followed by state or quality,
safe_risky_choice,steering,38167,1.1015625,0.0,8,8,ways to earn money,
safe_risky_choice,steering,56674,1.09375,0.0,8,8,rivalry,
safe_risky_choice,steering,5185,1.09375,0.0,8,8,safe investments and bonds,
safe_risky_choice,steering,42086,1.09375,0.0,8,8,sentence-ending punctuation,
safe_risky_choice,steering,13427,1.0859375,0.0,8,8,sentence and punctuation,
safe_risky_choice,steering,46125,1.0859375,0.0,8,8,plants and animals often,
safe_risky_choice,steering,3934,1.078125,0.0,8,8,"""I"" followed by a verb phrase",
safe_risky_choice,steering,53163,1.078125,0.0,8,8,positive attributes,
safe_risky_choice,steering,41467,1.0703125,0.0,8,8,remains constant,
safe_risky_choice,steering,13303,1.0703125,0.0,8,8,relationship and social connection,
safe_risky_choice,steering,130,1.0703125,0.0,8,8,ordering or recommending actions,
safe_risky_choice,steering,15844,1.0703125,0.0,8,8,affirmative or negative continuations,
safe_risky_choice,steering,45407,1.0625,0.0,8,8,"system, fair, contents, energy, assumptions, Coverage, popularity",
safe_risky_choice,steering,4048,1.0625,0.0,8,8,diminishing marginal utility,
safe_risky_choice,steering,21678,1.0625,0.0,8,8,proper code examples,
safe_risky_choice,steering,20578,1.0546875,0.0,8,8,specific nouns and technical terms,
safe_risky_choice,steering,29173,1.0546875,0.0,8,8,always followed by a top priority,
safe_risky_choice,steering,4162,5.8125,0.0,8,8,risk or possibility,10
safe_risky_choice,steering,13951,5.3125,0.0,8,8,sum of products for game outcomes,10
safe_risky_choice,steering,11007,5.15625,0.0,8,8,"gar, gu, guarantee, assure",10
safe_risky_choice,steering,60228,4.875,0.0,8,8,"artificial intelligence, such as, due to",10
safe_risky_choice,steering,56793,4.71875,0.0,8,8,guaranteed or guarantee,10
safe_risky_choice,steering,46963,4.34375,0.0,8,8,expressing certainty,10
safe_risky_choice,steering,53370,4.0,0.0,8,8,rewarding positive outcomes,10
safe_risky_choice,steering,47380,3.953125,0.0,8,8,user's choice or preference,10
safe_risky_choice,steering,26699,3.875,0.0,8,8,making a choice,10
safe_risky_choice,steering,12745,3.75,0.0,8,8,leaving or exiting,10
safe_risky_choice,steering,48258,3.625,0.0,8,8,roles and fields,10
safe_risky_choice,steering,22111,3.515625,0.0,8,8,receive messages or notifications,10
safe_risky_choice,steering,24356,3.34375,0.0,8,8,explaining a reason,10
safe_risky_choice,steering,50372,3.234375,0.0,8,8,numbers in arithmetic expressions,10
safe_risky_choice,steering,18354,3.21875,0.0,8,8,risk of,10
safe_risky_choice,steering,16735,3.21875,0.0,8,8,lines following new lines,10
safe_risky_choice,steering,28895,3.171875,0.0,8,8,explanation or reason,10
safe_risky_choice,steering,20504,3.078125,0.0,8,8,safe contexts,10
safe_risky_choice,steering,64296,2.984375,0.0,8,8,"when, for, with, good",10
safe_risky_choice,steering,14706,2.953125,0.0,8,8,comma followed by while,10
safe_risky_choice,steering,13815,2.875,0.0,8,8,because followed by a reason,10
safe_risky_choice,steering,62063,2.859375,0.0,8,8,features and capabilities,10
safe_risky_choice,steering,3766,2.828125,0.0,8,8,no,10
safe_risky_choice,steering,37859,2.71875,0.0,8,8,end up,10
safe_risky_choice,steering,28209,2.671875,0.0,8,8,numbers followed by units or specific words,10
safe_risky_choice,steering,20090,2.625,0.0,8,8,"provide, offer, bring",10
safe_risky_choice,steering,5941,2.609375,0.0,8,8,structural delimiters often preceding content,10
safe_risky_choice,steering,63568,2.59375,0.0,8,8,"period is 5 years, result of adding",10
safe_risky_choice,steering,56988,2.546875,0.0,8,8,secure stable stability security,10
safe_risky_choice,steering,35908,2.359375,0.0,8,8,past tense verbs,10
safe_risky_choice,steering,29594,2.3125,0.0,8,8,"as we know, described, shown",10
safe_risky_choice,steering,33729,2.28125,0.0,8,8,eliminate the need,10
safe_risky_choice,steering,62065,2.234375,0.0,8,8,zero or equals zero,10
safe_risky_choice,steering,23752,2.21875,0.0,8,8,choose or select,10
safe_risky_choice,steering,31507,2.21875,0.0,8,8,specific or standard characteristics,10
safe_risky_choice,steering,12990,2.203125,0.0,8,8,discussing risks and guarantees,10
safe_risky_choice,steering,35874,2.203125,0.0,8,8,negation or absence,10
safe_risky_choice,steering,10626,2.15625,0.0,8,8,eliminate two incorrect options,10
safe_risky_choice,steering,43377,2.109375,0.0,8,8,business operations and decisions,10
safe_risky_choice,steering,32446,2.09375,0.0,8,8,legal and business terms,10
safe_risky_choice,steering,27138,2.09375,0.0,8,8,business partnerpassive incomeeffective troubleshootingpurple cowurban fantasy,10
safe_risky_choice,steering,37391,2.0625,0.0,8,8,perfect or 100%,10
safe_risky_choice,steering,23608,2.0625,0.0,8,8,option trading strategies,10
safe_risky_choice,steering,58365,2.046875,0.0,8,8,it + verb describing state or action,10
safe_risky_choice,steering,20778,2.03125,0.0,8,8,"returns, profit, rewards",10
safe_risky_choice,steering,41190,2.0,0.0,8,8,reducing risk,10
safe_risky_choice,steering,51890,2.0,0.0,8,8,use bricks to create,10
safe_risky_choice,steering,64756,1.9921875,0.0,8,8,as followed by definition or comparison,10
safe_risky_choice,steering,24430,1.9609375,0.0,8,8,second place time velocity computer generation help discriminator qualification macros,10
safe_risky_choice,steering,50689,1.9453125,0.0,8,8,maximum limit payoff,10
safe_risky_choice,steering,9073,1.9296875,0.0,8,8,degree and size comparisons,10
safe_risky_choice,steering,31515,1.921875,0.0,8,8,numbers and quantities,10
safe_risky_choice,steering,30577,1.890625,0.0,8,8,as arguments or follows,10
safe_risky_choice,steering,32828,1.875,0.0,8,8,explaining why,10
safe_risky_choice,steering,22444,1.8515625,0.0,8,8,intent or expected future,10
safe_risky_choice,steering,36284,1.8125,0.0,8,8,coin landing on heads,10
safe_risky_choice,steering,51571,1.8046875,0.0,8,8,provides information access guidance,10
safe_risky_choice,steering,56952,1.796875,0.0,8,8,"consequential action ""-ing"" verbs",10
safe_risky_choice,steering,53451,1.7890625,0.0,8,8,determiner followed by noun/adjective,10
safe_risky_choice,steering,6586,1.7578125,0.0,8,8,explaining why,10
safe_risky_choice,steering,54896,1.75,0.0,8,8,risk of harm or damage,10
safe_risky_choice,steering,17137,1.7265625,0.0,8,8,technical or code syntax,10
safe_risky_choice,steering,50462,1.71875,0.0,8,8,are predictable outcomes,10
safe_risky_choice,steering,8641,1.71875,0.0,8,8,units of measurement,10
safe_risky_choice,steering,42124,1.7109375,0.0,8,8,"select, put, design, remove",10
safe_risky_choice,steering,30988,1.7109375,0.0,8,8,negative qualifiers,10
safe_risky_choice,steering,25833,1.7109375,0.0,8,8,as followed by a word,10
safe_risky_choice,steering,14609,1.6953125,0.0,8,8,"goal, intent, or abstract noun",10
safe_risky_choice,steering,21509,1.6875,0.0,8,8,"explaining ""Chagrin"" or ""because""",10
safe_risky_choice,steering,9733,1.6875,0.0,8,8,selecting or choosing,10
safe_risky_choice,steering,5869,1.6796875,0.0,8,8,apple counts,10
safe_risky_choice,steering,7151,1.65625,0.0,8,8,"production, smooth, negative attitudes, bizarre",10
safe_risky_choice,steering,2872,1.640625,0.0,8,8,0 followed by punctuation or digits,10
safe_risky_choice,steering,14069,1.640625,0.0,8,8,contract offers,10
safe_risky_choice,steering,54718,1.640625,0.0,8,8,"Rapunzel, New York, cabinet, step, fine",10
