task,condition,rank,feature_index,mean_activation,std_activation,nonzero_count,n_response_units,feature_label
safe_risky_choice,lite_steering,1,13951,5.55,0.16623455889624553,1400,1400,sum of products for game outcomes
safe_risky_choice,lite_steering,2,26699,3.7589285714285716,0.06418332620115069,1400,1400,making a choice
safe_risky_choice,lite_steering,3,47380,3.6395089285714284,0.15341789199914174,1400,1400,user's choice or preference
safe_risky_choice,lite_steering,4,48258,3.606674107142857,0.16687124239778783,1400,1400,roles and fields
safe_risky_choice,lite_steering,5,20504,3.461651785714286,0.8939654884185497,1333,1400,safe contexts
safe_risky_choice,lite_steering,6,46963,3.321597377232143,0.8283249019526507,1400,1400,expressing certainty
safe_risky_choice,lite_steering,7,60836,3.263772670200893,2.4137696415013257,967,1400,multiplication and digits
safe_risky_choice,lite_steering,8,16735,3.204017857142857,0.012907885977491478,1400,1400,lines following new lines
safe_risky_choice,lite_steering,9,57461,3.2000446428571427,2.132353413624557,970,1400,"expectation, anticipation, prediction"
safe_risky_choice,lite_steering,10,11007,3.1836746651785712,1.48324756694544,1381,1400,"gar, gu, guarantee, assure"
