task,condition,feature_index,mean_activation,std_activation,nonzero_count,n_response_units,feature_label,reward
safe_risky_choice,lite_steering,13951,5.55,0.16623455889624553,1400,1400,sum of products for game outcomes,
safe_risky_choice,lite_steering,26699,3.7589285714285716,0.06418332620115069,1400,1400,making a choice,
safe_risky_choice,lite_steering,47380,3.6395089285714284,0.15341789199914174,1400,1400,user's choice or preference,
safe_risky_choice,lite_steering,48258,3.606674107142857,0.16687124239778783,1400,1400,roles and fields,
safe_risky_choice,lite_steering,20504,3.461651785714286,0.8939654884185497,1333,1400,safe contexts,
safe_risky_choice,lite_steering,46963,3.321597377232143,0.8283249019526507,1400,1400,expressing certainty,
safe_risky_choice,lite_steering,60836,3.263772670200893,2.4137696415013257,967,1400,multiplication and digits,
safe_risky_choice,lite_steering,16735,3.204017857142857,0.012907885977491478,1400,1400,lines following new lines,
safe_risky_choice,lite_steering,57461,3.2000446428571427,2.132353413624557,970,1400,"expectation, anticipation, prediction",
safe_risky_choice,lite_steering,11007,3.1836746651785712,1.48324756694544,1381,1400,"gar, gu, guarantee, assure",
safe_risky_choice,lite_steering,28895,3.132142857142857,0.036086232817786924,1400,1400,explanation or reason,
safe_risky_choice,lite_steering,36960,2.968405412946429,1.9638589695568467,1097,1400,half and remaining counts,
safe_risky_choice,lite_steering,24356,2.913392857142857,0.2393473401454348,1400,1400,explaining a reason,
safe_risky_choice,lite_steering,22444,2.81453125,0.6459935846090327,1400,1400,intent or expected future,
safe_risky_choice,lite_steering,4162,2.807421875,2.140578684698583,1400,1400,risk or possibility,
safe_risky_choice,lite_steering,5941,2.6732142857142858,0.05494155637899748,1400,1400,structural delimiters often preceding content,
safe_risky_choice,lite_steering,6322,2.6471316964285716,1.899353478233796,930,1400,calculations,
safe_risky_choice,lite_steering,63568,2.5974832589285715,0.4448690477607567,1400,1400,"period is 5 years, result of adding",
safe_risky_choice,lite_steering,5007,2.5905022321428572,1.916580546386566,930,1400,mathematical expressions,
safe_risky_choice,lite_steering,12990,2.5833258928571428,1.2781590548062751,1400,1400,discussing risks and guarantees,
safe_risky_choice,lite_steering,18259,2.5705043247767856,1.8328359200022788,1320,1400,"comparisons with ""than""",
safe_risky_choice,lite_steering,17284,2.561015625,1.939087427758283,890,1400,0.5 scaling and figures,
safe_risky_choice,lite_steering,13815,2.529017857142857,0.18761688533622295,1400,1400,because followed by a reason,
safe_risky_choice,lite_steering,17968,2.5058175223214287,0.8655972856247218,1400,1400,potential risks and consequences,
safe_risky_choice,lite_steering,56793,2.3909375,2.1901712580318753,778,1400,guaranteed or guarantee,
safe_risky_choice,lite_steering,20906,2.3869754464285715,0.9174363598773614,1400,1400,taking risks and responsibility,
safe_risky_choice,lite_steering,20778,2.35953125,0.6059288804597649,1400,1400,"returns, profit, rewards",
safe_risky_choice,lite_steering,50372,2.3474051339285715,0.8435997963188471,1400,1400,numbers in arithmetic expressions,
safe_risky_choice,lite_steering,32446,2.3267020089285713,0.4219303893435514,1400,1400,legal and business terms,
safe_risky_choice,lite_steering,35908,2.2808035714285713,0.03762733483162775,1400,1400,past tense verbs,
safe_risky_choice,lite_steering,62065,2.2486244419642856,1.054293367337412,1400,1400,zero or equals zero,
safe_risky_choice,lite_steering,27138,2.2358035714285713,0.08720083697642117,1400,1400,business partnerpassive incomeeffective troubleshootingpurple cowurban fantasy,
safe_risky_choice,lite_steering,23752,2.191450892857143,0.0843610361413688,1400,1400,choose or select,
safe_risky_choice,lite_steering,23608,2.1669140625,0.1519555615451443,1400,1400,option trading strategies,
safe_risky_choice,lite_steering,54718,2.1438671875,0.33130381744897364,1400,1400,"Rapunzel, New York, cabinet, step, fine",
safe_risky_choice,lite_steering,53370,2.08890625,1.8529345927609595,790,1400,rewarding positive outcomes,
safe_risky_choice,lite_steering,2872,2.0576674107142856,0.6110711540991696,1336,1400,0 followed by punctuation or digits,
safe_risky_choice,lite_steering,8641,2.032142857142857,0.5162981652495505,1395,1400,units of measurement,
safe_risky_choice,lite_steering,43377,1.9998995535714286,0.1960788279320178,1400,1400,business operations and decisions,
safe_risky_choice,lite_steering,51890,1.9745842633928572,0.44374368695677646,1400,1400,use bricks to create,
safe_risky_choice,lite_steering,27030,1.9716685267857144,0.31996071861468134,1400,1400,risk and its management,
safe_risky_choice,lite_steering,24430,1.940825892857143,0.05753063614444976,1400,1400,second place time velocity computer generation help discriminator qualification macros,
safe_risky_choice,lite_steering,38927,1.9399107142857144,1.468889067450122,890,1400,numbers and probability percentages,
safe_risky_choice,lite_steering,55570,1.8846372767857142,0.6299310438740283,1400,1400,although / despite / although,
safe_risky_choice,lite_steering,31084,1.8743080357142856,3.04614188908892,385,1400,willing to,
safe_risky_choice,lite_steering,64296,1.85986328125,1.0783261830530888,1400,1400,"when, for, with, good",
safe_risky_choice,lite_steering,9353,1.855827375139509,1.2015125085437777,1076,1400,calculating defining meaning,
safe_risky_choice,lite_steering,32828,1.8412946428571428,0.03033087098476104,1400,1400,explaining why,
safe_risky_choice,lite_steering,4048,1.821439732142857,0.6443511096438054,1400,1400,diminishing marginal utility,
safe_risky_choice,lite_steering,63700,1.7881263950892856,0.9335348412249772,1390,1400,the [specific noun/category],
safe_risky_choice,lite_steering,8838,1.7841183035714285,1.397012805686488,890,1400,numbers starting with 0,
safe_risky_choice,lite_steering,9262,1.7666350446428571,1.2236338230080357,1010,1400,comparisons with than,
safe_risky_choice,lite_steering,6586,1.7339285714285715,0.04419191896184496,1400,1400,explaining why,
safe_risky_choice,lite_steering,12808,1.7177455357142857,1.152197002935618,970,1400,value proposition creation,
safe_risky_choice,lite_steering,1695,1.689361049107143,0.9388943385117924,1315,1400,comparison of magnitudes and states,
safe_risky_choice,lite_steering,2450,1.6882589285714287,0.27210283234684074,1400,1400,specific words after common prefixes,
safe_risky_choice,lite_steering,21661,1.6775669642857143,1.2017045921845315,930,1400,numbers and units,
safe_risky_choice,lite_steering,47878,1.6597530691964286,1.2938469737544753,1017,1400,"50 Shades, years, amounts",
safe_risky_choice,lite_steering,50960,1.6489453125,1.1295488042707242,1020,1400,comparative magnitudes,
safe_risky_choice,lite_steering,17137,1.6283482142857142,0.06035047247587587,1400,1400,technical or code syntax,
safe_risky_choice,lite_steering,28802,1.62578125,0.34406413203518477,1400,1400,contrast conjunctions like while or although,
safe_risky_choice,lite_steering,44907,1.623431919642857,0.41074859434142696,1400,1400,articles followed by specific nouns,
safe_risky_choice,lite_steering,57325,1.6183482142857142,0.3583345220926585,1400,1400,social dynamics and inclusivity,
safe_risky_choice,lite_steering,39026,1.594584263392857,1.2531533760998295,961,1400,higher values,
safe_risky_choice,lite_steering,58975,1.5927511160714285,0.4988613182184034,1400,1400,risks outweigh benefits,
safe_risky_choice,lite_steering,27302,1.590654035295759,1.1365300969259562,997,1400,decimal calculations with rates,
safe_risky_choice,lite_steering,17651,1.5697349330357142,0.5822378400433246,1400,1400,risk and reward,
safe_risky_choice,lite_steering,9733,1.5689676339285714,0.05118210331402176,1400,1400,selecting or choosing,
safe_risky_choice,lite_steering,35796,1.5538895089285714,0.27075682103531123,1400,1400,options,
safe_risky_choice,lite_steering,57001,1.5443777901785714,1.0790099742932224,1020,1400,adjective comparisons with than,
safe_risky_choice,lite_steering,36284,1.5438002232142858,0.16226563603482047,1400,1400,coin landing on heads,
safe_risky_choice,lite_steering,1924,1.5401785714285714,0.018406721542939923,1400,1400,labels followed by colon,
safe_risky_choice,lite_steering,37758,1.5395535714285715,1.166391831220597,890,1400,multiplication and code pointers,
safe_risky_choice,lite_steering,64992,1.53504638671875,0.9626420652037173,1080,1400,"motion, location, or proper nouns",
safe_risky_choice,lite_steering,16666,1.5111830357142857,0.1724313005576137,1400,1400,because or unless,
safe_risky_choice,lite_steering,21582,1.510404575892857,0.6450838830937553,1352,1400,average or mean calculation,
safe_risky_choice,lite_steering,14941,1.5094363839285714,0.13367017472047857,1400,1400,"describes captivating, interesting, unique qualities",
safe_risky_choice,lite_steering,50689,1.5036858258928572,0.35202778829992853,1400,1400,maximum limit payoff,
safe_risky_choice,lite_steering,49237,1.487232142857143,0.9518560134580993,1020,1400,in the hope that,
