condition,reward,safe_count,risky_count,other_count,comment_nonempty_count,total_responses,safe_percentage,risky_percentage,other_percentage,comment_nonempty_percentage
lite_steering,10,40,0,0,40,40,100.0,0.0,0.0,100.0
lite_steering,15,40,0,0,40,40,100.0,0.0,0.0,100.0
lite_steering,20,40,0,0,40,40,100.0,0.0,0.0,100.0
lite_steering,25,40,0,0,40,40,100.0,0.0,0.0,100.0
lite_steering,30,40,0,0,40,40,100.0,0.0,0.0,100.0
lite_steering,35,40,0,0,40,40,100.0,0.0,0.0,100.0
lite_steering,40,40,0,0,40,40,100.0,0.0,0.0,100.0
lite_steering,45,40,0,0,40,40,100.0,0.0,0.0,100.0
lite_steering,50,40,0,0,40,40,100.0,0.0,0.0,100.0
lite_steering,55,40,0,0,40,40,100.0,0.0,0.0,100.0
lite_steering,60,0,40,0,40,40,0.0,100.0,0.0,100.0
lite_steering,65,0,40,0,40,40,0.0,100.0,0.0,100.0
lite_steering,70,0,40,0,40,40,0.0,100.0,0.0,100.0
lite_steering,75,0,40,0,40,40,0.0,100.0,0.0,100.0
lite_steering,80,0,40,0,40,40,0.0,100.0,0.0,100.0
lite_steering,85,0,40,0,40,40,0.0,100.0,0.0,100.0
lite_steering,90,0,40,0,40,40,0.0,100.0,0.0,100.0
lite_steering,95,0,40,0,40,40,0.0,100.0,0.0,100.0
lite_steering,100,0,40,0,40,40,0.0,100.0,0.0,100.0
lite_steering,105,0,40,0,40,40,0.0,100.0,0.0,100.0
lite_steering,110,0,40,0,40,40,0.0,100.0,0.0,100.0
lite_steering,115,0,40,0,40,40,0.0,100.0,0.0,100.0
lite_steering,120,0,40,0,40,40,0.0,100.0,0.0,100.0
lite_steering,125,0,40,0,40,40,0.0,100.0,0.0,100.0
lite_steering,130,0,40,0,40,40,0.0,100.0,0.0,100.0
lite_steering,135,0,40,0,40,40,0.0,100.0,0.0,100.0
lite_steering,140,0,40,0,40,40,0.0,100.0,0.0,100.0
lite_steering,145,0,40,0,40,40,0.0,100.0,0.0,100.0
lite_steering,150,0,40,0,40,40,0.0,100.0,0.0,100.0
lite_steering,155,0,40,0,40,40,0.0,100.0,0.0,100.0
lite_steering,160,0,40,0,40,40,0.0,100.0,0.0,100.0
lite_steering,165,0,40,0,40,40,0.0,100.0,0.0,100.0
lite_steering,170,0,40,0,40,40,0.0,100.0,0.0,100.0
lite_steering,175,0,40,0,40,40,0.0,100.0,0.0,100.0
lite_steering,180,0,40,0,40,40,0.0,100.0,0.0,100.0
