task,condition,reward,rank,feature_index,mean_activation,std_activation,nonzero_count,n_response_units,feature_label
ultimatum_response,steering,10,1,60228,5.96875,0.0,40,40,"artificial intelligence, such as, due to"
ultimatum_response,steering,10,2,40158,4.65625,0.0,40,40,low X
ultimatum_response,steering,10,3,26699,4.34375,0.0,40,40,making a choice
ultimatum_response,steering,10,4,58448,4.21875,0.0,40,40,such a
ultimatum_response,steering,10,5,58909,4.0625,0.0,40,40,fair and
ultimatum_response,steering,10,6,20797,4.03125,0.0,40,40,expressing apparent states or perceptions
ultimatum_response,steering,10,7,5546,3.9421875,0.547145022623114,40,40,fair distribution
ultimatum_response,steering,10,8,29461,3.908984375,0.1058521676513214,40,40,better financial offers
ultimatum_response,steering,10,9,24356,3.703125,0.0,40,40,explaining a reason
ultimatum_response,steering,10,10,50689,3.68125,0.022316963839201183,40,40,maximum limit payoff
ultimatum_response,steering,15,1,60228,6.03125,0.0,40,40,"artificial intelligence, such as, due to"
ultimatum_response,steering,15,2,40158,4.6140625,0.10042633727636331,40,40,low X
ultimatum_response,steering,15,3,26699,4.34375,0.0,40,40,making a choice
ultimatum_response,steering,15,4,59579,4.2375,1.78028756894076,34,40,cooperation and cooperative
ultimatum_response,steering,15,5,20797,4.0625,0.0,40,40,expressing apparent states or perceptions
ultimatum_response,steering,15,6,58909,4.03125,0.0,40,40,fair and
ultimatum_response,steering,15,7,29461,3.977734375,0.18012472282139735,40,40,better financial offers
ultimatum_response,steering,15,8,24356,3.765625,0.0,40,40,explaining a reason
ultimatum_response,steering,15,9,5546,3.748046875,0.12313984582928214,40,40,fair distribution
ultimatum_response,steering,15,10,22551,3.5734375,0.10060850020004057,40,40,game theory variations
ultimatum_response,steering,20,1,11391,6.40625,0.0,40,40,if ... were statements
ultimatum_response,steering,20,2,60228,6.03125,0.0,40,40,"artificial intelligence, such as, due to"
ultimatum_response,steering,20,3,26699,4.625,0.0,40,40,making a choice
ultimatum_response,steering,20,4,50689,4.5625,0.0,40,40,maximum limit payoff
ultimatum_response,steering,20,5,19310,4.25,0.0,40,40,rejected or denied
ultimatum_response,steering,20,6,29461,3.953125,0.0,40,40,better financial offers
ultimatum_response,steering,20,7,45326,3.921875,0.0,40,40,equal opportunity and representation
ultimatum_response,steering,20,8,36182,3.921875,0.0,40,40,linking words after punctuation
ultimatum_response,steering,20,9,5546,3.796875,0.0,40,40,fair distribution
ultimatum_response,steering,20,10,238,3.765625,0.0,40,40,accept and its forms
ultimatum_response,steering,25,1,11391,6.375,0.0,40,40,if ... were statements
ultimatum_response,steering,25,2,60228,5.96875,0.0,40,40,"artificial intelligence, such as, due to"
ultimatum_response,steering,25,3,26699,4.625,0.0,40,40,making a choice
