task,condition,rank,feature_index,mean_activation,std_activation,nonzero_count,n_response_units,feature_label
ultimatum_response,steering,1,26699,4.586397058823529,0.0893768072143202,680,680,making a choice
ultimatum_response,steering,2,60228,4.368589154411764,2.265838805829889,599,680,"artificial intelligence, such as, due to"
ultimatum_response,steering,3,50689,4.356663602941176,0.35839736925801285,680,680,maximum limit payoff
ultimatum_response,steering,4,29461,3.9574908088235294,0.10964205803333962,680,680,better financial offers
ultimatum_response,steering,5,24356,3.8764935661764706,0.0847824846100798,680,680,explaining a reason
ultimatum_response,steering,6,19310,3.8132582720588237,0.5292198037581779,680,680,rejected or denied
ultimatum_response,steering,7,238,3.7560431985294116,0.3482058820751566,680,680,accept and its forms
ultimatum_response,steering,8,36182,3.5204733455882353,1.2859297282311148,600,680,linking words after punctuation
ultimatum_response,steering,9,10313,3.474609375,0.1711290788716372,680,680,"refusal, rejection, denied"
ultimatum_response,steering,10,28802,3.2203125,0.7867378942483478,680,680,contrast conjunctions like while or although
