task,condition,rank,feature_index,mean_activation,std_activation,nonzero_count,n_response_units,feature_label
ultimatum_response,steering,1,60228,5.96875,0.0,8,8,"artificial intelligence, such as, due to"
ultimatum_response,steering,2,40158,4.65625,0.0,8,8,low X
ultimatum_response,steering,3,26699,4.34375,0.0,8,8,making a choice
ultimatum_response,steering,4,58448,4.21875,0.0,8,8,such a
ultimatum_response,steering,5,58909,4.0625,0.0,8,8,fair and
ultimatum_response,steering,6,20797,4.03125,0.0,8,8,expressing apparent states or perceptions
ultimatum_response,steering,7,5546,3.943359375,0.6203901035761566,8,8,fair distribution
ultimatum_response,steering,8,29461,3.904296875,0.10809448517204462,8,8,better financial offers
ultimatum_response,steering,9,24356,3.703125,0.0,8,8,explaining a reason
ultimatum_response,steering,10,50689,3.6796875,0.020669932117692115,8,8,maximum limit payoff
