task,condition,rank,feature_index,mean_activation,std_activation,nonzero_count,n_response_units,feature_label
detailed_ways_to_use_a_brick,baseline,1,23007,273.2,31.484281792666152,40,40,a pathway or BBQ
detailed_ways_to_use_a_brick,baseline,2,20210,211.4,25.003799711243936,40,40,stone and earth construction
detailed_ways_to_use_a_brick,baseline,3,59162,200.175,23.47433438885947,40,40,bricks and building
detailed_ways_to_use_a_brick,baseline,4,62454,191.95,23.7286219574589,40,40,"kidney stones, rock"
detailed_ways_to_use_a_brick,baseline,5,25058,182.725,19.01839569995334,40,40,"researching Amazon, deploying AWS"
detailed_ways_to_use_a_brick,baseline,6,46665,143.6,33.34126572282461,40,40,outdoor spaces and items
detailed_ways_to_use_a_brick,baseline,7,16770,131.2,14.622243329940906,40,40,"create, support, or delay"
detailed_ways_to_use_a_brick,baseline,8,45632,129.475,14.754639100974314,40,40,favorite type of lamp
detailed_ways_to_use_a_brick,baseline,9,6181,123.15,25.982253558919776,40,40,"improvise, make, create"
detailed_ways_to_use_a_brick,baseline,10,33057,119.075,18.917435740607136,40,40,stable surface
detailed_ways_to_use_a_brick,high_steering,1,23007,290.775,31.85395383621949,40,40,a pathway or BBQ
detailed_ways_to_use_a_brick,high_steering,2,20210,216.225,44.04570779315507,40,40,stone and earth construction
detailed_ways_to_use_a_brick,high_steering,3,25058,201.85,22.658938633572358,40,40,"researching Amazon, deploying AWS"
detailed_ways_to_use_a_brick,high_steering,4,59162,194.475,25.590024912063004,40,40,bricks and building
detailed_ways_to_use_a_brick,high_steering,5,62454,193.625,24.20298277072483,40,40,"kidney stones, rock"
detailed_ways_to_use_a_brick,high_steering,6,46665,161.3,49.81325124904012,40,40,outdoor spaces and items
detailed_ways_to_use_a_brick,high_steering,7,45632,142.475,32.08113737073553,40,40,favorite type of lamp
detailed_ways_to_use_a_brick,high_steering,8,53105,124.725,65.1881843204733,40,40,landscaping and gardening
detailed_ways_to_use_a_brick,high_steering,9,35034,114.3,19.22784439296306,40,40,best deals and different models
detailed_ways_to_use_a_brick,high_steering,10,11847,111.275,28.331067311345667,40,40,repurposing old items
