task,condition,feature_index,mean_activation,std_activation,nonzero_count,n_response_units,feature_label
detailed_ways_to_use_a_brick,baseline,23007,273.2,31.484281792666152,40,40,a pathway or BBQ
detailed_ways_to_use_a_brick,baseline,20210,211.4,25.003799711243936,40,40,stone and earth construction
detailed_ways_to_use_a_brick,baseline,59162,200.175,23.47433438885947,40,40,bricks and building
detailed_ways_to_use_a_brick,baseline,62454,191.95,23.7286219574589,40,40,"kidney stones, rock"
detailed_ways_to_use_a_brick,baseline,25058,182.725,19.01839569995334,40,40,"researching Amazon, deploying AWS"
detailed_ways_to_use_a_brick,baseline,46665,143.6,33.34126572282461,40,40,outdoor spaces and items
detailed_ways_to_use_a_brick,baseline,16770,131.2,14.622243329940906,40,40,"create, support, or delay"
detailed_ways_to_use_a_brick,baseline,45632,129.475,14.754639100974314,40,40,favorite type of lamp
detailed_ways_to_use_a_brick,baseline,6181,123.15,25.982253558919776,40,40,"improvise, make, create"
detailed_ways_to_use_a_brick,baseline,33057,119.075,18.917435740607136,40,40,stable surface
detailed_ways_to_use_a_brick,baseline,35034,118.35,16.22428734952641,40,40,best deals and different models
detailed_ways_to_use_a_brick,baseline,26627,115.875,13.002283453301606,40,40,center of gravity
detailed_ways_to_use_a_brick,baseline,53105,104.875,22.106772152442346,40,40,landscaping and gardening
detailed_ways_to_use_a_brick,baseline,5769,102.95,12.08087331280311,40,40,place flat stable stack
detailed_ways_to_use_a_brick,baseline,16583,102.425,14.460095954038499,40,40,"learning and improvement, fabrics"
detailed_ways_to_use_a_brick,baseline,34519,101.5,16.54690303349842,40,40,"to use, enjoy, charge"
detailed_ways_to_use_a_brick,baseline,59992,101.0,19.230184606498174,40,40,starts clauses or lists
detailed_ways_to_use_a_brick,baseline,14892,94.625,16.050992959938636,40,40,hammer and context
detailed_ways_to_use_a_brick,baseline,6239,92.175,14.145471890325913,40,40,stack them onto each other
detailed_ways_to_use_a_brick,baseline,34834,90.175,17.042428670820392,40,40,for purpose or target
detailed_ways_to_use_a_brick,baseline,634,86.825,18.689418797811758,40,40,specific tools
detailed_ways_to_use_a_brick,baseline,37453,86.325,14.156955004519846,40,40,manufacture and construction
detailed_ways_to_use_a_brick,baseline,56517,86.2,6.783067152844597,40,40,digital transformation and inventors
detailed_ways_to_use_a_brick,baseline,54600,84.425,12.296112190444589,40,40,aesthetically pleasing and good-looking
