task,condition,reward,rank,feature_index,mean_activation,std_activation,nonzero_count,n_response_units,feature_label
safe_risky_choice,barely_prompting,10,1,65178,7.080029296875,1.9144187869682066,40,40,risk tolerance and management
safe_risky_choice,barely_prompting,10,2,5107,6.571875,0.041457809879380796,40,40,result in outcomes
safe_risky_choice,barely_prompting,10,3,11007,6.3390625,0.7019364955250588,40,40,"gar, gu, guarantee, assure"
safe_risky_choice,barely_prompting,10,4,35492,5.71640625,0.014636714058765665,40,40,probability and percentages
safe_risky_choice,barely_prompting,10,5,4162,5.6015625,0.10311316219935605,40,40,risk or possibility
safe_risky_choice,barely_prompting,10,6,13951,5.046875,0.06952686081652695,40,40,sum of products for game outcomes
safe_risky_choice,barely_prompting,10,7,21840,4.740625,1.3498806370842584,37,40,too followed by adjective
safe_risky_choice,barely_prompting,10,8,20504,4.692578125,0.2656798541706007,40,40,safe contexts
safe_risky_choice,barely_prompting,10,9,14706,4.51484375,0.07361597329003926,40,40,comma followed by while
safe_risky_choice,barely_prompting,10,10,56793,4.3296875,0.07491857559206644,40,40,guaranteed or guarantee
safe_risky_choice,barely_prompting,15,1,65178,7.073095703125,1.9383478038698159,40,40,risk tolerance and management
safe_risky_choice,barely_prompting,15,2,5107,6.5625,0.034938562148434216,40,40,result in outcomes
safe_risky_choice,barely_prompting,15,3,11007,6.140234375,0.490329920967994,40,40,"gar, gu, guarantee, assure"
safe_risky_choice,barely_prompting,15,4,35492,5.72109375,0.020237240386039093,40,40,probability and percentages
safe_risky_choice,barely_prompting,15,5,4162,5.5203125,0.05526480994941689,40,40,risk or possibility
safe_risky_choice,barely_prompting,15,6,13951,5.07109375,0.05366795154870446,40,40,sum of products for game outcomes
safe_risky_choice,barely_prompting,15,7,21840,4.740625,1.3498806370842584,37,40,too followed by adjective
safe_risky_choice,barely_prompting,15,8,20504,4.73125,0.11709371246995844,40,40,safe contexts
safe_risky_choice,barely_prompting,15,9,14706,4.5265625,0.18468591369877552,40,40,comma followed by while
safe_risky_choice,barely_prompting,15,10,56793,4.35859375,0.06479666965546743,40,40,guaranteed or guarantee
safe_risky_choice,barely_prompting,20,1,65178,7.470458984375,1.1403297512498476,40,40,risk tolerance and management
safe_risky_choice,barely_prompting,20,2,5107,6.57421875,0.04115489747208101,40,40,result in outcomes
safe_risky_choice,barely_prompting,20,3,11007,6.079296875,0.8189824596944109,40,40,"gar, gu, guarantee, assure"
safe_risky_choice,barely_prompting,20,4,35492,5.7453125,0.016461958988944626,40,40,probability and percentages
