condition,reward,response_index,old_top10_count,new_top10_count,label_overlap_count,label_overlap_fraction_of_old,label_overlap
baseline,,1,16,0,0,0.0,
baseline,,2,15,0,0,0.0,
baseline,,3,14,0,0,0.0,
baseline,,4,15,0,0,0.0,
baseline,,5,15,0,0,0.0,
baseline,,6,16,0,0,0.0,
baseline,,7,15,0,0,0.0,
baseline,,8,14,0,0,0.0,
baseline,,9,16,0,0,0.0,
baseline,,10,15,0,0,0.0,
baseline,,11,15,0,0,0.0,
baseline,,12,16,0,0,0.0,
baseline,,13,15,0,0,0.0,
baseline,,14,16,0,0,0.0,
baseline,,15,15,0,0,0.0,
baseline,,16,17,0,0,0.0,
baseline,,17,15,0,0,0.0,
baseline,,18,16,0,0,0.0,
baseline,,19,15,0,0,0.0,
baseline,,20,15,0,0,0.0,
baseline,,21,15,0,0,0.0,
baseline,,22,17,0,0,0.0,
baseline,,23,16,0,0,0.0,
baseline,,24,14,0,0,0.0,
baseline,,25,16,0,0,0.0,
baseline,,26,16,0,0,0.0,
baseline,,27,15,0,0,0.0,
baseline,,28,15,0,0,0.0,
baseline,,29,16,0,0,0.0,
baseline,,30,16,0,0,0.0,
baseline,,31,16,0,0,0.0,
baseline,,32,16,0,0,0.0,
baseline,,33,16,0,0,0.0,
baseline,,34,15,0,0,0.0,
baseline,,35,16,0,0,0.0,
baseline,,36,15,0,0,0.0,
baseline,,37,16,0,0,0.0,
baseline,,38,15,0,0,0.0,
baseline,,39,14,0,0,0.0,
baseline,,40,15,0,0,0.0,
baseline,10,1,0,10,0,,
baseline,10,2,0,10,0,,
baseline,10,3,0,10,0,,
baseline,10,4,0,10,0,,
baseline,10,5,0,10,0,,
baseline,10,6,0,10,0,,
baseline,10,7,0,10,0,,
baseline,10,8,0,10,0,,
prompting,,1,16,0,0,0.0,
prompting,,2,14,0,0,0.0,
prompting,,3,15,0,0,0.0,
prompting,,4,15,0,0,0.0,
prompting,,5,15,0,0,0.0,
prompting,,6,16,0,0,0.0,
prompting,,7,16,0,0,0.0,
prompting,,8,16,0,0,0.0,
prompting,,9,15,0,0,0.0,
prompting,,10,15,0,0,0.0,
prompting,,11,16,0,0,0.0,
prompting,,12,16,0,0,0.0,
prompting,,13,17,0,0,0.0,
prompting,,14,17,0,0,0.0,
prompting,,15,17,0,0,0.0,
prompting,,16,17,0,0,0.0,
prompting,,17,16,0,0,0.0,
prompting,,18,19,0,0,0.0,
prompting,,19,16,0,0,0.0,
prompting,,20,16,0,0,0.0,
prompting,,21,17,0,0,0.0,
prompting,,22,16,0,0,0.0,
prompting,,23,16,0,0,0.0,
prompting,,24,15,0,0,0.0,
prompting,,25,18,0,0,0.0,
prompting,,26,16,0,0,0.0,
prompting,,27,17,0,0,0.0,
prompting,,28,18,0,0,0.0,
prompting,,29,17,0,0,0.0,
prompting,,30,17,0,0,0.0,
prompting,,31,16,0,0,0.0,
prompting,,32,18,0,0,0.0,
prompting,,33,16,0,0,0.0,
prompting,,34,15,0,0,0.0,
prompting,,35,15,0,0,0.0,
prompting,,36,17,0,0,0.0,
prompting,,37,15,0,0,0.0,
prompting,,38,16,0,0,0.0,
prompting,,39,17,0,0,0.0,
prompting,,40,16,0,0,0.0,
steering,,1,18,0,0,0.0,
steering,,2,17,0,0,0.0,
steering,,3,19,0,0,0.0,
steering,,4,17,0,0,0.0,
steering,,5,18,0,0,0.0,
steering,,6,16,0,0,0.0,
steering,,7,18,0,0,0.0,
steering,,8,21,0,0,0.0,
steering,,9,17,0,0,0.0,
steering,,10,18,0,0,0.0,
steering,,11,20,0,0,0.0,
steering,,12,18,0,0,0.0,
steering,,13,19,0,0,0.0,
steering,,14,20,0,0,0.0,
steering,,15,17,0,0,0.0,
steering,,16,16,0,0,0.0,
steering,,17,17,0,0,0.0,
steering,,18,18,0,0,0.0,
steering,,19,17,0,0,0.0,
steering,,20,21,0,0,0.0,
steering,,21,17,0,0,0.0,
steering,,22,19,0,0,0.0,
steering,,23,16,0,0,0.0,
steering,,24,20,0,0,0.0,
steering,,25,20,0,0,0.0,
steering,,26,20,0,0,0.0,
steering,,27,18,0,0,0.0,
steering,,28,18,0,0,0.0,
steering,,29,19,0,0,0.0,
steering,,30,17,0,0,0.0,
steering,,31,16,0,0,0.0,
steering,,32,19,0,0,0.0,
steering,,33,18,0,0,0.0,
steering,,34,18,0,0,0.0,
steering,,35,17,0,0,0.0,
steering,,36,18,0,0,0.0,
steering,,37,17,0,0,0.0,
steering,,38,16,0,0,0.0,
steering,,39,16,0,0,0.0,
steering,,40,17,0,0,0.0,
