task,condition,feature_index,mean_activation,std_activation,nonzero_count,n_response_units,feature_label
detailed_ways_to_use_a_brick,high_steering,25058,219.25,13.397294502995853,40,40,"researching Amazon, deploying AWS"
detailed_ways_to_use_a_brick,high_steering,23007,195.25,16.388639357799093,40,40,a pathway or BBQ
detailed_ways_to_use_a_brick,high_steering,20210,189.45,17.020502342763038,40,40,stone and earth construction
detailed_ways_to_use_a_brick,high_steering,62454,172.925,9.897948019665336,40,40,"kidney stones, rock"
detailed_ways_to_use_a_brick,high_steering,59162,172.9,10.584894897919263,40,40,bricks and building
detailed_ways_to_use_a_brick,high_steering,5769,164.775,9.558994455485147,40,40,place flat stable stack
detailed_ways_to_use_a_brick,high_steering,45632,133.675,15.819904392884297,40,40,favorite type of lamp
detailed_ways_to_use_a_brick,high_steering,35034,123.225,7.47826015861994,40,40,best deals and different models
detailed_ways_to_use_a_brick,high_steering,33057,120.5,13.584918107960727,40,40,stable surface
detailed_ways_to_use_a_brick,high_steering,46665,120.2,17.870646322950908,40,40,outdoor spaces and items
detailed_ways_to_use_a_brick,high_steering,6239,109.075,9.99346661574452,40,40,stack them onto each other
detailed_ways_to_use_a_brick,high_steering,16770,103.525,10.523752895236452,40,40,"create, support, or delay"
detailed_ways_to_use_a_brick,high_steering,6181,103.1,13.442098050527697,40,40,"improvise, make, create"
detailed_ways_to_use_a_brick,high_steering,26627,96.875,10.842480112963118,40,40,center of gravity
detailed_ways_to_use_a_brick,high_steering,14892,94.075,9.85998859025712,40,40,hammer and context
detailed_ways_to_use_a_brick,high_steering,634,93.225,12.766141742907353,40,40,specific tools
detailed_ways_to_use_a_brick,high_steering,48086,92.0,12.353137253345823,40,40,horizontal or level
detailed_ways_to_use_a_brick,high_steering,16583,87.225,11.21045828679637,40,40,"learning and improvement, fabrics"
detailed_ways_to_use_a_brick,high_steering,56517,85.025,6.170443663141188,40,40,digital transformation and inventors
detailed_ways_to_use_a_brick,high_steering,64503,80.5,11.924764148611066,40,40,quality illustration
detailed_ways_to_use_a_brick,high_steering,34519,80.075,14.068382103141765,40,40,"to use, enjoy, charge"
detailed_ways_to_use_a_brick,high_steering,35484,75.775,11.297095865752375,40,40,bobinas transformador gerador
detailed_ways_to_use_a_brick,high_steering,53105,74.05,19.90219837103431,40,40,landscaping and gardening
detailed_ways_to_use_a_brick,high_steering,37453,71.95,8.683173383043732,40,40,manufacture and construction
detailed_ways_to_use_a_brick,high_steering,28401,71.6,15.902515524281066,40,40,object resting on table
detailed_ways_to_use_a_brick,high_steering,59992,69.0,19.89723598895082,40,40,starts clauses or lists
detailed_ways_to_use_a_brick,high_steering,61654,68.925,8.585998777078913,40,40,use and employment
detailed_ways_to_use_a_brick,high_steering,54084,67.875,5.172946452458177,40,40,helpful and respectful responses
detailed_ways_to_use_a_brick,high_steering,51381,67.375,8.362677501853089,40,40,"tramples, crushes, humiliates"
detailed_ways_to_use_a_brick,high_steering,30682,65.8,7.315052973150654,40,40,uncontested divorce lawyer
detailed_ways_to_use_a_brick,high_steering,5824,65.1,10.302426898551639,40,40,fix arm insert in/on/together
detailed_ways_to_use_a_brick,high_steering,14424,63.35,5.4979541649598636,40,40,certain featuresNAME statementsgenes potentially
detailed_ways_to_use_a_brick,high_steering,6298,63.35,7.346938137755041,40,40,"set clear, assign them, identify the"
detailed_ways_to_use_a_brick,high_steering,16842,63.1,9.710303805751908,40,40,code easier to read
