task,condition,feature_index,mean_activation,std_activation,nonzero_count,n_response_units,feature_label
detailed_ways_to_use_a_brick,high_steering,25058,171.0,1.0,2,2,"researching Amazon, deploying AWS"
detailed_ways_to_use_a_brick,high_steering,20210,143.0,15.0,2,2,stone and earth construction
detailed_ways_to_use_a_brick,high_steering,59162,137.5,8.5,2,2,bricks and building
detailed_ways_to_use_a_brick,high_steering,23007,136.0,12.0,2,2,a pathway or BBQ
detailed_ways_to_use_a_brick,high_steering,5769,132.5,1.5,2,2,place flat stable stack
detailed_ways_to_use_a_brick,high_steering,62454,125.5,8.5,2,2,"kidney stones, rock"
detailed_ways_to_use_a_brick,high_steering,35034,104.0,2.0,2,2,best deals and different models
detailed_ways_to_use_a_brick,high_steering,45632,90.5,3.5,2,2,favorite type of lamp
detailed_ways_to_use_a_brick,high_steering,46665,89.0,6.0,2,2,outdoor spaces and items
detailed_ways_to_use_a_brick,high_steering,14892,83.0,10.0,2,2,hammer and context
detailed_ways_to_use_a_brick,high_steering,26627,82.0,5.0,2,2,center of gravity
detailed_ways_to_use_a_brick,high_steering,33057,79.0,4.0,2,2,stable surface
detailed_ways_to_use_a_brick,high_steering,6239,77.5,13.5,2,2,stack them onto each other
detailed_ways_to_use_a_brick,high_steering,16770,76.5,0.5,2,2,"create, support, or delay"
detailed_ways_to_use_a_brick,high_steering,48086,73.0,2.0,2,2,horizontal or level
detailed_ways_to_use_a_brick,high_steering,634,71.0,4.0,2,2,specific tools
detailed_ways_to_use_a_brick,high_steering,56517,65.0,3.0,2,2,digital transformation and inventors
detailed_ways_to_use_a_brick,high_steering,64503,64.5,11.5,2,2,quality illustration
detailed_ways_to_use_a_brick,high_steering,51381,64.0,9.0,2,2,"tramples, crushes, humiliates"
detailed_ways_to_use_a_brick,high_steering,40737,62.0,8.0,2,2,landing outcomes
detailed_ways_to_use_a_brick,high_steering,6181,60.5,7.5,2,2,"improvise, make, create"
detailed_ways_to_use_a_brick,high_steering,23653,57.5,0.5,2,2,strive for greatness; established in
