task,condition,feature_index,mean_activation,std_activation,nonzero_count,n_response_units,feature_label,reward
safe_risky_choice,baseline,5107,6.7265625,0.020669932117692115,8,8,result in outcomes,
safe_risky_choice,baseline,35492,5.62890625,0.028969525340217434,8,8,probability and percentages,
safe_risky_choice,baseline,13951,5.33203125,0.48486303538828107,8,8,sum of products for game outcomes,
safe_risky_choice,baseline,4162,5.265625,0.15857643070456592,8,8,risk or possibility,
safe_risky_choice,baseline,11007,4.78125,0.4841229182759271,8,8,"gar, gu, guarantee, assure",
safe_risky_choice,baseline,56793,4.6875,0.12103072956898178,8,8,guaranteed or guarantee,
safe_risky_choice,baseline,46715,4.10546875,0.051674830294230284,8,8,percentages and numerical values,
safe_risky_choice,baseline,47380,4.005859375,0.06807978538255224,8,8,user's choice or preference,
safe_risky_choice,baseline,48258,3.96484375,0.12444947126620305,8,8,roles and fields,
safe_risky_choice,baseline,46790,3.88671875,0.02174907954230477,8,8,chance to or chance of,
safe_risky_choice,baseline,26699,3.87109375,0.015128841196122723,8,8,making a choice,
safe_risky_choice,baseline,47878,3.595703125,0.04092251335890032,8,8,"50 Shades, years, amounts",
safe_risky_choice,baseline,46963,3.51171875,0.9531169953557315,8,8,expressing certainty,
safe_risky_choice,baseline,24356,3.408203125,0.21936819734377946,8,8,explaining a reason,
safe_risky_choice,baseline,20504,3.271484375,0.20326580156038146,8,8,safe contexts,
safe_risky_choice,baseline,28895,3.140625,0.0,8,8,explanation or reason,
safe_risky_choice,baseline,16735,3.140625,0.0,8,8,lines following new lines,
safe_risky_choice,baseline,1767,3.08203125,1.4013750135887744,8,8,no followed by a word,
safe_risky_choice,baseline,51890,3.060546875,0.37892135118103254,8,8,use bricks to create,
safe_risky_choice,baseline,35874,2.9609375,0.1670121744252496,8,8,negation or absence,
safe_risky_choice,baseline,56988,2.8828125,0.27410632488826303,8,8,secure stable stability security,
safe_risky_choice,baseline,13815,2.72265625,0.22693261794184083,8,8,because followed by a reason,
safe_risky_choice,baseline,32446,2.689453125,0.35020898301886744,8,8,legal and business terms,
safe_risky_choice,baseline,14706,2.6171875,0.542673593337883,8,8,comma followed by while,
safe_risky_choice,baseline,6083,2.578125,2.578125,4,8,outcome or results,
safe_risky_choice,baseline,5941,2.546875,0.0,8,8,structural delimiters often preceding content,
safe_risky_choice,baseline,20090,2.541015625,0.052950944186429524,8,8,"provide, offer, bring",
